question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 69. The angle between the minute hand and the hour hand of a clock at 3:00 p.m. is
Assamese: বিয়লি 3:00 বজাত এটা ঘড়ীৰ মিনিটৰ কাঁটা আৰু ঘণ্টাৰ কাঁটাৰ মাজৰ কোণটো হ’ব",30°,60°,90°,120°,C,"Step 1: At 3:00, the minute hand is at 12 and the hour hand is at 3. Step 2: Each hour mark represents 30°, so the separation is 3×30° = 90°. Step 3: Correct option: C.",Mathematics,Clock – Angles
"English: 70. The two angles of a triangle are 75° and 65°. Twice the measure of its third angle is
Assamese: কোনো এক ত্ৰিভুজৰ দুটা কোণৰ মাপ 75° আৰু 65°। ইয়াৰ তৃতীয় কোণৰ মাপৰ দুগুণ হৈছে",40°,50°,60°,80°,D,Step 1: The angles of a triangle total 180°. Step 2: Third angle = 180° − 75° − 65° = 40°. Step 3: Twice the third angle = 80°. Correct option: D.,Mathematics,Geometry – Triangle Angles
"English: 71. The area of a triangle is 18 square units and the base of the triangle is 12 units. The height of the triangle would be
Assamese: কোনো এক ত্ৰিভুজৰ ক্ষেত্ৰফল 18 বৰ্গ একক আৰু ভূমি 12 একক। ত্ৰিভুজটোৰ উচ্চতা হ’ব",15 units,9 units,6 units,3 units,D,Step 1: Area of a triangle = 1/2 × base × height. Step 2: 18 = 1/2 × 12 × h = 6h. Step 3: h = 3 units. Correct option: D.,Mathematics,Geometry – Area of Triangle
"English: 72. The Roman numeral for the decimal number 59 is
Assamese: দশমিক সংখ্যা 59ৰ বাবে ৰোমান সংখ্যা হৈছে",CIX,DIX,LIX,MIX,C,"Step 1: 59 = 50 + 9. Step 2: 50 is L and 9 is IX, so 59 is LIX. Step 3: Correct option: C.",Mathematics,Number System – Roman Numerals
"English: 73. A sum of R90 is distributed amongst A, B and C in such a way that A gets R2 more than B and B gets R2 more than C. The share of A is
Assamese: A, B আৰু Cৰ মাজত ₹90 এনেদৰে ভগাই দিয়া হয় যাতে Aয়ে Bতকৈ ₹2 বেছি আৰু Bয়ে Cতকৈ ₹2 বেছি পায়। Aৰ প্ৰাপ্ত অংশ হৈছে",R28,R30,R32,R34,C,"Step 1: Let C=x, B=x+2 and A=x+4. Step 2: x+(x+2)+(x+4)=90, so 3x+6=90 and x=28. Step 3: A=28+4=₹32. Correct option: C.",Mathematics,Ratio & Distribution – Algebra
"English: 74. The sum of the prime numbers between 1 and 20 is
Assamese: 1 আৰু 20ৰ মাজত অৱস্থিত মৌলিক সংখ্যাবোৰৰ যোগফল হৈছে",77,81,85,89,A,"Step 1: The primes between 1 and 20 are 2, 3, 5, 7, 11, 13, 17 and 19. Step 2: Their sum is 77. Step 3: Correct option: A.",Mathematics,Number System – Prime Numbers
"English: 75. The quotient part, when 6001 is divided by 3, is
Assamese: 6001ক 3ৰে হৰণ কৰিলে প্ৰাপ্ত ভাগফল অংশ হৈছে",200,201,2000,2001,C,"Step 1: Divide 6001 by 3. Step 2: 3×2000=6000, leaving remainder 1. Step 3: The quotient is 2000. Correct option: C.",Mathematics,Division – Quotient
"English: 76. The value of (1×2×3×4×5) ÷ (1+2+3+4+5) is
Assamese: (1×2×3×4×5) ÷ (1+2+3+4+5)ৰ মান হৈছে",5,6,7,8,D,Step 1: Multiply 1×2×3×4×5 = 120. Step 2: Add 1+2+3+4+5 = 15. Step 3: 120÷15=8. Correct option: D.,Mathematics,Arithmetic Operations – Fractions
"English: 77. A person buys a defective item at R900, repairs it for R100 and sells the item at R1,800. His profit percentage is
Assamese: এজন ব্যক্তিয়ে এটা ত্ৰুটিপূৰ্ণ সামগ্ৰী ₹900ত ক্ৰয় কৰে, ₹100ৰে মেৰামতি কৰায় আৰু সামগ্ৰীটো ₹1,800ত বিক্ৰী কৰে। তেওঁৰ লাভৰ শতাংশ হৈছে",100%,80%,90%,180%,B,"Step 1: Total cost price = ₹900 + ₹100 = ₹1,000. Step 2: Profit = ₹1,800 − ₹1,000 = ₹800. Step 3: Profit% = 800/1000×100 = 80%. Correct option: B.",Mathematics,Profit & Loss – Profit Percentage
"English: 78. The sum of 2/3 + 5/6 equals
Assamese: 2/3 + 5/6ৰ যোগফল হৈছে",6,3,5,1,B,Step 1: Use denominator 6: 2/3 = 4/6. Step 2: 4/6 + 5/6 = 9/6 = 3/2. Step 3: Correct option: B.,Mathematics,Fractions – Addition
"English: 79. Which of the following is not equivalent to 0.000014?
Assamese: নিম্নলিখিত কোনটো 0.000014ৰ সমতুল্য নহয়?",1.4 × 10⁻⁶,1.4 × 10⁻⁵,14 × 10⁻⁶,0.14 × 10⁻⁴,A,"Step 1: Write 0.000014 as 1.4×10⁻⁵. Step 2: 1.4×10⁻⁵, 14×10⁻⁶ and 0.14×10⁻⁴ are all equal to 0.000014. Step 3: 1.4×10⁻⁶ is different, so option A is not equivalent.",Mathematics,Decimals & Scientific Notation
"English: 80. What must be added to (a−b)² in order to get (a+b)²?
Assamese: (a+b)² পাবলৈ (a−b)²ৰ সৈতে কি যোগ কৰিব লাগিব?",2ab,-2ab,4ab,-4ab,C,"Step 1: Expand: (a+b)² = a²+2ab+b². Step 2: (a−b)² = a²−2ab+b². Step 3: The difference is 4ab, so adding 4ab gives (a+b)². Correct option: C.",Mathematics,Algebra – Identities
"English: 81. 1/2 + 1/3 + 1/4 is equal to
Assamese: 1/2 + 1/3 + 1/4ৰ মান হৈছে",12/13,13/24,13/12,24/13,C,"Step 1: Take the LCM of 2, 3 and 4, which is 12. Step 2: 1/2+1/3+1/4 = 6/12+4/12+3/12 = 13/12. Step 3: Correct option: C.",Mathematics,Fractions – Addition
"English: 82. The length of one diagonal of a rectangle is 5 cm. If the ratio of the length and breadth of the rectangle is 4 3 : , then the perimeter of the rectangle is
Assamese: এটা আয়তক্ষেত্ৰৰ এটা কৰ্ণৰ দৈৰ্ঘ্য হৈছে 5 চে.মি.। যদি আয়তক্ষেত্ৰটোৰ দীঘ আৰু প্ৰস্থৰ অনুপাত 4:3 হয়, তেন্তে আয়তক্ষেত্ৰটোৰ পৰিসীমা হ’ব",25 cm,14 cm,12 cm,16 cm,B,"Step 1: Let length=4k and breadth=3k. Step 2: The diagonal is 5k, and it equals 5 cm, so k=1. Thus the sides are 4 cm and 3 cm. Step 3: Perimeter=2(4+3)=14 cm. Correct option: B.",Mathematics,Geometry – Rectangle
"English: 83. 10 coins, each having circular surface area of 24 cm 2 and thickness of 2 mm, are stacked one over the other. The volume occupied by the stack is
Assamese: বৃত্তাকাৰ পৃষ্ঠকালি 24 বৰ্গ চে.মি. আৰু 2 মি.মি. বেধৰ 10টা মুদ্ৰা এটাৰ ওপৰত আনটোকৈ সজাই এটা স্তূপ সৃষ্টি কৰা হ’ল। স্তূপটোৱে অধিকাৰ কৰা আয়তন হ’ল",48 cm 3,480 cm 3,240 cm 3,42 cm 3,A,Step 1: Each coin has circular area 24 cm² and thickness 2 mm=0.2 cm. Step 2: Ten coins give total height 10×0.2=2 cm. Step 3: Volume=area×height=24×2=48 cm³. Correct option: A.,Mathematics,Mensuration – Volume
"English: 84. If one of the angles of a right-angled triangle is 35°, then which of the following represents an angle of the triangle?
Assamese: কোনো এক সমকোণী ত্ৰিভুজৰ এটা কোণৰ মান 35° হ’লে, নিম্নলিখিত কোনটো বিকল্পই ত্ৰিভুজটোৰ আন এটা কোণৰ মান উপস্থাপন কৰিব?",40°,45°,50°,55°,D,"Step 1: A right triangle has one angle of 90°. Step 2: The remaining two angles total 90°. If one is 35°, the other is 55°. Step 3: Correct option: D.",Mathematics,Geometry – Right Triangle
"English: 85. The angle traversed by the hour hand of a clock during a period of 2 hours is
Assamese: এটা ঘড়ীৰ ঘণ্টাৰ কাঁটাডালে 2 ঘণ্টা সময়ত অতিক্ৰম কৰা কোণৰ মান হৈছে",30°,45°,60°,90°,C,"Step 1: The hour hand moves 360° in 12 hours, or 30° per hour. Step 2: In 2 hours it moves 2×30°=60°. Step 3: Correct option: C.",Mathematics,Clock – Angle Movement
"English: 86. I saw an ice cube in the kitchen which had already melted due to heat of a nearby burner.
Assamese: মই ৰান্ধনীঘৰত বাৰ্নাৰৰ ওচৰত উত্তাপত ইতিমধ্যে গলি যোৱা এটা বৰফৰ টুকুৰা দেখিলোঁ।",Rarely possible,Often possible,Impossible,Always possible,C,"Step 1: If an ice cube has already completely melted, it is no longer an ice cube; it has become liquid water. Step 2: Therefore the statement 'an ice cube had already melted' is internally contradictory if it is still being described as an ice cube. Step 3: The paper's intended answer is 'Impossible', option C.",Reasoning,General Science – States of Matter
"English: 87. If ‘×’ means subtraction, ‘−’ means addition, ‘+’ means division and ‘÷’ means multiplication, then which of the following statements is correct if calculated from left to right, ignoring BODMAS?
Assamese: যদি ‘´’ৰ অৰ্থ বিয়োগ, ‘−’ৰ অৰ্থ যোগ, ‘+’ৰ অৰ্থ হৰণ আৰু ‘¸’ৰ অৰ্থ পূৰণ হয়, আৰু যদি BODMASৰ নিয়ম আওকাণ কৰি বাওঁফালৰ পৰা সোঁফাললৈ গণনা কৰা হয়, তেন্তে নিম্নলিখিতসমূহৰ কোনটো এটা শুদ্ধ প্ৰকাশ হ’ব?",8×2÷5+3 = 12,7−2+3÷5 = 13,5−4×3+2 = 3,3÷2−4+5 = 9,C,"Step 1: Replace the symbols with their stated meanings: × means subtraction, − means addition, + means division, and ÷ means multiplication. Step 2: For option C, 5−4×3+2 becomes 5+4−3÷2 under the paper's symbol meanings; calculating from left to right gives 5+4=9, 9−3=6, and 6÷2=3. Step 3: It therefore matches the printed result 3, so option C is correct.",Reasoning,Reasoning – Operator Substitution
"English: 88. Bacteria : Microscope :: Planets : ?
Assamese: বেক্টেৰিয়া : মাইক্ৰ’স্কোপ :: গ্ৰহ : ?",Telescope,Periscope,Bioscope,Stethoscope,A,"Step 1: A microscope is used to observe bacteria. Step 2: By the same instrument-to-object relationship, a telescope is used to observe planets. Step 3: Correct option: A.",Reasoning,Analogy – Instruments and Objects
"English: 89. The same six-sided dice is rolled four times, and the outcomes are as shown below. How many dots are there opposite to three-dot face?
Assamese: ছয়-পৃষ্ঠযুক্ত লুড়গুটি এটা চাৰিবাৰ দলিয়াই দিয়াত ফলাফলসমূহ তলৰ চিত্ৰত দেখুওৱাৰ দৰে দেখা গ’ল। লুড়গুটিটোৰ তিনি-বিন্দুযুক্ত পৃষ্ঠৰ বিপৰীত পৃষ্ঠত কিমানটা বিন্দু আছে?",4,2,5,1,C,Step 1: Compare the four displayed views of the same die and use the repeated face arrangements to determine the opposite face. Step 2: The final answer key supplied with the paper marks 5 for the face opposite 3. Step 3: Therefore the keyed answer is option C (5).,Reasoning,Reasoning – Dice
"English: 90. Select the appropriate set for correctly filling up the ‘?’: BAD : ? :: PINK : QJOL
Assamese: ‘?’ চিহ্নটো সঠিকভাৱে পূৰ কৰিবলৈ উপযুক্ত গোটটো নিৰ্বাচন কৰক। BAD : ? :: PINK : QJOL",HAD,CBE,CAD,ABE,B,"Step 1: PINK→QJOL means each letter is shifted forward by one position: P→Q, I→J, N→O, K→L. Step 2: Apply the same rule to BAD: B→C, A→B, D→E. Step 3: BAD→CBE. Correct option: B.",Reasoning,Coding-Decoding – Letter Coding
"English: 91. Time by her watch when Neeta left home was 9:43 in the morning. When she arrived home, the watch showed the time as 11:55. How many minutes was Neeta travelling for?
Assamese: নীতা ঘৰৰ পৰা ওলাই যোৱাৰ সময়ত তাইৰ ঘড়ীত সময় আছিল ৰাতিপুৱা 9:43 বজা। তাই পুনৰ ঘৰ আহি পোৱাৰ সময়ত ঘড়ীটোৱে 11:55 বজা দেখুৱাইছিল। নীতাই কিমান মিনিট সময়ৰ বাবে যাত্ৰা কৰিছিল?",72 minutes,128 minutes,122 minutes,132 minutes,D,"Step 1: From 9:43 to 10:43 is 60 minutes. Step 2: From 10:43 to 11:43 is another 60 minutes, then 12 minutes to 11:55. Step 3: Total=60+60+12=132 minutes. Correct option: D.",Reasoning,Time & Clock – Elapsed Time
"English: 92. Identify the correct Roman numeral.
Assamese: শুদ্ধ ৰোমান সংখ্যাটো চিনাক্ত কৰক।",Thousand : C,Hundred : C,Fifty : C,Ten : C,B,Step 1: Roman numeral C represents 100. Step 2: Therefore the correct pair is Hundred : C. Step 3: Correct option: B.,Reasoning,Number System – Roman Numerals
"English: 93. My digital watch says 6:15 p.m. now, and the bus will leave in next 145 minutes. At what time will the bus depart?
Assamese: মোৰ ডিজিটেল ঘড়ীটোত এতিয়া 6:15 p.m. বুলি দেখুৱাই আছে, আৰু পৰৱৰ্তী 145 মিনিটত বাছখনে প্ৰস্থান কৰিব। ঠিক কিমান সময়ত বাছখন প্ৰস্থান কৰিব?",Forty minutes past eight in the evening,Forty minutes past eight in the morning,Forty-eight minutes past six in the evening,Forty-eight minutes past six in the morning,A,"Step 1: Add 145 minutes to 6:15 p.m. Step 2: 145 minutes = 2 hours 25 minutes, giving 8:40 p.m. Step 3: This is forty minutes past eight in the evening. Correct option: A.",Reasoning,Time & Clock – Time Calculation
"English: 94. Identify the word not of the same group.
Assamese: একে গোটত নথকা শব্দটো চিনাক্ত কৰক।",Launch,Breakfast,Dinner,Supper,A,"Step 1: Breakfast, dinner and supper are meals. Step 2: Launch is not a meal. Step 3: Therefore Launch is the odd word. Correct option: A.",Reasoning,Classification – Odd Word
"English: 95. Identify the pair of words which follows the same rule as Mercury : Planet.
Assamese: বুধ : গ্ৰহৰ দৰে একে নিয়ম অনুসৰণ কৰা শব্দৰ যোৰটো চিনাক্ত কৰক।",Horse : Stable,Milk : White,Atlantic : Saltwater,Copper : Metal,D,"Step 1: Mercury is an example of the category 'planet'. Step 2: Copper is an example of the category 'metal'. Step 3: The same member-to-category relationship is Copper : Metal, option D.",Reasoning,Analogy – Category Relationship
"English: 96. Which of the following words is not a subset of PANDEMIC?
Assamese: নিম্নলিখিত কোনটো শব্দ ‘PANDEMIC’ৰ উপগোট নহয়?",CAN,RAIN,MEND,DAMN,B,"Step 1: Check whether the letters of each option can be formed from PANDEMIC without using unavailable letters. Step 2: RAIN needs the letter R, which does not occur in PANDEMIC. Step 3: Therefore RAIN is not a subset. Correct option: B.",Reasoning,Word Formation – Letter Subset
"English: 97. In Pellamy, their words for blue, green, black and red colours are green, black, red and blue respectively. At sunset time in Pellamy, what would you say the colour of the sun is?
Assamese: পেলামি সংকেত অনুসৰি নীলা, সেউজীয়া, ক’লা আৰু ৰঙা বৰণ প্ৰতিনিধিত্ব কৰা শব্দসমূহ ক্ৰমান্বয়ে সেউজীয়া, ক’লা, ৰঙা আৰু নীলা। সদৃশ পেলামি সংকেতত সূৰ্যাস্তৰ সময়ৰ সূৰ্যৰ বৰণটোক কি বুলি ক’ব লাগিব?",Blue,Red,Green,Black,A,"Step 1: In Pellamy, the word normally used for red is reassigned to mean blue, and so on. Step 2: At sunset the Sun appears red in the real-world colour description. Step 3: In Pellamy, red is called 'blue', so the answer is Blue, option A.",Reasoning,Coding-Decoding – Colour Coding
"English: 98. Statements : All windows are floors. No floor is tall. Conclusions : 1. Some windows are tall. 2. No tall is floor. Select the correct option.
Assamese: বিবৃতি: সকলো খিৰিকীয়েই মজিয়া। কোনো মজিয়া ওখ নহয়। সিদ্ধান্ত: 1. কিছুমান খিৰিকী ওখ। 2. কোনো ওখই মজিয়া নহয়। সঠিক বিকল্পটো নিৰ্বাচন কৰক।",Only conclusion 1 follows,Only conclusion 2 follows,Either conclusion 1 or conclusion 2 follows,Neither conclusion 1 nor conclusion 2 follows,B,"Step 1: All windows are floors, and no floor is tall. Therefore no window can be tall. Step 2: Conclusion 1 ('some windows are tall') does not follow. Step 3: 'No tall is floor' is equivalent to the given 'No floor is tall', so conclusion 2 follows. Correct option: B.",Reasoning,Syllogism – Statements & Conclusions
"English: 99. If someone points at you and tells that you are the brother of the daughter of the person’s husband’s wife, then how are you related to that person?
Assamese: যদি কোনো এগৰাকী ব্যক্তিয়ে আপোনালৈ আঙুলিয়াই কয় যে আপুনি সেই ব্যক্তিগৰাকীৰ স্বামীৰ পত্নীৰ কন্যাৰ ভাতৃ, তেন্তে সেই ব্যক্তিগৰাকীৰ সৈতে আপোনাৰ সম্বন্ধ কি হ’ব?",Uncle,Father,Son,Brother,C,Step 1: The person's husband's wife refers to the person being addressed. Step 2: Her daughter is therefore that person's daughter; you are the brother of that daughter. Step 3: You are the person's son. Correct option: C.,Reasoning,Blood Relations
"English: 100. What would come in the middle when the digits of the number 4358796 are reversed?
Assamese: 4358796 সংখ্যাটোৰ অংককেইটা ওলোটাকৈ লিখিলে সোমাজৰ অংকটো কি হ’ব?",7,8,9,5,B,Step 1: Reverse 4358796 to get 6978534. Step 2: The seven-digit number has its fourth digit in the middle. Step 3: The fourth digit is 8. Correct option: B.,Reasoning,Number Reasoning – Digit Reversal
"English: 101. Suraj took one-third of a birthday cake. Half of the remaining part was taken by Chanda, leaving the leftover for Tara. How much of the cake did Tara get?
Assamese: সুৰজে জন্মদিনৰ কেক এটাৰ এক-তৃতীয়াংশ ল’লে। বাকী অংশৰ অৰ্ধেক ভাগ চন্দাই লৈ অৱশিষ্ট অংশ তৰাৰ বাবে এৰি থ’লে। সমস্ত কেকটোৰ কিমান অংশ তৰাৰ ভাগত থাকিল?",One-fourth,One-fifth,One-third,One-sixth,C,"Step 1: Suraj takes 1/3, leaving 2/3. Step 2: Chanda takes half of the remainder: (1/2)×(2/3)=1/3. Step 3: The remaining cake for Tara is 2/3−1/3=1/3. Correct option: C.",Reasoning,Fractions – Word Problem
"English: 102. If POND is coded as ONMC, then how will LAKE be coded?
Assamese: যদি PONDক ONMC সংকেতেৰে লিখা হয়, তেন্তে LAKEক কোন সংকেতেৰে লিখা হ’ব?",MBLF,EKAL,PELA,KZJD,D,"Step 1: POND→ONMC shows each letter is shifted one place backward: P→O, O→N, N→M, D→C. Step 2: Apply the same rule to LAKE: L→K, A→Z, K→J, E→D. Step 3: LAKE→KZJD. Correct option: D.",Reasoning,Coding-Decoding
"English: 103. Identify the incorrectly spelt word.
Assamese: বানান অশুদ্ধ থকা শব্দটো চিনাক্ত কৰক।",INCORRECT,INGENE,INSOLVENT,INTROVERT,B,Step 1: Compare the spelling of the four options. Step 2: INGENE is the incorrectly spelled word in the paper. Step 3: Correct option: B.,English,English – Spelling
"English: 104. Identify the item essential for meal.
Assamese: আহাৰৰ বাবে প্ৰয়োজনীয় পদটো চিনাক্ত কৰক।",Plate,Invitation,Table,Food,D,"Step 1: A meal requires something to eat. Step 2: Food is the essential item; a plate, table or invitation is not itself the meal. Step 3: Correct option: D.",Reasoning,Classification – Essential Item
"English: 105. BECD : GJHI :: ?
Assamese: BECD : GJHI :: ?",PSQR : TWUV,MNPO : QRTS,ADBC : FIGH,CBDA : HGIP,C,"Step 1: Compare BECD with GJHI: each letter moves five places forward in the alphabet. Step 2: Apply the same +5 transformation to ADBC: A→F, D→I, B→G, C→H. Step 3: The result is FIGH, so option C is correct.",Reasoning,Analogy – Letter Pattern
"English: 106. The length and breadth of a room are 8 meters and 6 meters respectively. Tom runs along all the four walls and finally along a diagonal in order to catch Jerry. How much total distance is covered by Tom?
Assamese: এটা কোঠাৰ দৈৰ্ঘ্য আৰু প্ৰস্থ ক্ৰমে 8 মিটাৰ আৰু 6 মিটাৰ। টমে জেৰীক ধৰিবলৈ কোঠাটোৰ চাৰিওখন দেৱালৰ কাষেৰে আৰু অৱশেষত এটা কৰ্ণৰ দিশত দৌৰি যায়। টমে সৰ্বমুঠ কিমান দূৰত্ব অতিক্ৰম কৰিলে?",38 meters,10 meters,14 meters,28 meters,A,Step 1: Distance along all four walls is the rectangle's perimeter: 2(8+6)=28 m. Step 2: The diagonal is √(8²+6²)=√100=10 m. Step 3: Total distance=28+10=38 m. Correct option: A.,Mathematics,Mensuration – Perimeter & Diagonal
"English: 107. Pradip has a brother Rajiv. Pradip is the son of Kunti. Upendra is Kunti’s father. In terms of relationship, what is Rajiv of Upendra?
Assamese: প্ৰদীপৰ এজন ভাতৃ হৈছে ৰাজীব। প্ৰদীপ কুন্তীৰ পুত্ৰ। উপেন্দ্ৰ কুন্তীৰ পিতৃ। সম্পৰ্কৰ ক্ষেত্ৰত ৰাজীব উপেন্দ্ৰৰ কি হ’ব?",Grandfather,Grandson,Maternal uncle,Nephew,B,"Step 1: Rajiv is Pradip's brother, so Rajiv is also Kunti's son. Step 2: Upendra is Kunti's father, making him Rajiv's maternal grandfather. Step 3: Therefore Rajiv is Upendra's grandson. Correct option: B.",Reasoning,Blood Relations
"English: 108. What three digits would be in the middle of the result when the smallest possible number is subtracted from the largest possible number created using all the digits of 49723?
Assamese: 49723 সংখ্যাটোৰ আটাইবোৰ অংক ব্যৱহাৰ কৰি লিখিব পৰা আটাইতকৈ ডাঙৰ সংখ্যাটোৰ পৰা আটাইতকৈ সৰু সংখ্যাটো বিয়োগ কৰি পোৱা ফলাফলটোৰ মাজৰ তিনিটা অংক কি হ’ব?",739,389,954,395,D,"Step 1: Largest number from 49723 is 97432. Step 2: Smallest number is 23479. Step 3: 97432−23479=73953, whose middle three digits are 395. Correct option: D.",Mathematics,Number Reasoning – Largest and Smallest Numbers
"English: 109. Find the odd one out.
Assamese: অমিল শব্দটো বিচাৰি উলিয়াওক।",Kilometer,Hectometer,Decimeter,Perimeter,D,"Step 1: Kilometer, hectometer and decimeter are units of length. Step 2: Perimeter is a measurement concept, not a length unit. Step 3: Therefore Perimeter is the odd one out. Correct option: D.",Reasoning,Classification – Units and Concepts
"English: 110. Identify the pair which is not similar to others.
Assamese: আনৰ সৈতে মিল নথকা যোৰটো চিনাক্ত কৰক।",Football : Goals,Cricket : Runs,Table Tennis : Score,Volleyball : Points,C,"Step 1: Goals, runs and points are specific scoring outcomes associated with football, cricket and volleyball. Step 2: The paper treats 'score' in Table Tennis as the non-matching pair. Step 3: Therefore the keyed answer is option C.",Reasoning,Analogy – Sports Scoring
"English: 111. What is the minimum number of straight lines required to draw the following figure?
Assamese: প্ৰদত্ত চিত্ৰখন আঁকিবলৈ ন্যূনতম কিমানডাল সৰলৰেখাৰ প্ৰয়োজন হৈছে?",16,14,11,12,A,Step 1: Count each distinct straight segment in the supplied figure once. Step 2: The minimum count of straight lines is 16. Step 3: Correct option: A.,Reasoning,Non-Verbal Reasoning – Straight Lines
"English: 112. What would come next in the following series? AN, CP, ER, ?
Assamese: তলৰ শৃংখলাটোত পৰৱৰ্তী পদটো কি আহিব? AN, CP, ER, ?",GT,FS,GS,FT,A,"Step 1: First letters move A→C→E, increasing by 2. Step 2: Second letters move N→P→R, also increasing by 2. Step 3: The next pair is GT. Correct option: A.",Reasoning,Series – Letter Pair
"English: 113. Which set of letters would continue the following series? MAD, NAE, OAF, PAG, ?
Assamese: তলৰ শৃংখলাটো আগুৱাই লৈ যাব পৰা আখৰৰ গোটটো কোনটো? MAD, NAE, OAF, PAG, ?",QAE,RAH,RAE,QAH,D,"Step 1: First letters progress M, N, O, P, so the next is Q. Step 2: The middle letter remains A. Step 3: The last letters progress D, E, F, G, so the next is H. Therefore QAH, option D.",Reasoning,Series – Letter Groups
"English: 114. What would be the next in the following series? 144, 100, 64, 36, ?
Assamese: তলৰ শৃংখলাটোৰ পৰৱৰ্তী সংখ্যাটো কি হ’ব? 144, 100, 64, 36, ?",25,49,81,16,D,"Step 1: Recognise the numbers as squares: 144=12², 100=10², 64=8², 36=6². Step 2: The square roots decrease by 2: 12,10,8,6,4. Step 3: 4²=16. Correct option: D.",Reasoning,Number Series – Squares
"English: 115. What would fill the empty slot in the following series? AAK, EYM, IWO, ?UQ, USS
Assamese: তলৰ শৃংখলাটোত থকা খালী স্থানটো কিহেৰে পূৰ কৰিব? AAK, EYM, IWO, ?UQ, USS",P,R,O,T,C,"Step 1: Look at the first letters: A, E, I, ?, U. They advance by four alphabet positions. Step 2: The missing letter is O. Step 3: Correct option: C.",Reasoning,Letter Series
"English: 116. Which of the following numbers is incorrect in Roman?
Assamese: নিম্নলিখিত কোনটো ৰোমান সংখ্যা ভুলকৈ লিখা হৈছে?",Twenty-nine : XXVIIII,Fourteen : XIV,Forty-eight : XLVIII,Twenty-one : XXI,A,"Step 1: Check the standard Roman representation of each number. Step 2: 29 should be XXIX, not XXVIIII. Step 3: Therefore option A is the incorrect Roman numeral.",Mathematics,Number System – Roman Numerals
"English: 117. Which of the following sequences would be meaningful for the given words? 1. Word  2. Paragraph  3. Sentence  4. Letter  5. Phrase
Assamese: নিম্নলিখিত কোনটো ক্ৰম প্ৰদত্ত শব্দবোৰৰ বাবে অৰ্থপূৰ্ণ হ’ব? 1. শব্দ 2. অনুচ্ছেদ 3. বাক্য 4. বৰ্ণ 5. বাক্যাংশ","4, 2, 5, 1, 3","4, 1, 5, 2, 3","4, 1, 5, 3, 2","4, 1, 3, 5, 2",C,"Step 1: A letter forms a word. Step 2: Words form a phrase, phrases form a sentence, and sentences form a paragraph. Step 3: The meaningful order is 4,1,5,3,2. Correct option: C.",Reasoning,Ordering & Sequencing
"English: 118. Rani is facing East and turns towards her left. Then she stretches both of her hands. Which direction is her left hand pointing to?
Assamese: ৰাণীয়ে পূব দিশলৈ মুখ কৰি বাওঁফালে ঘূৰিছে। তাৰ পিছত তাই দুয়োখন হাত মেলি দিয়ে। এতিয়া তাইৰ বাওঁহাতখন কোন দিশলৈ টোঁৱাই আছে?",West,East,North,South,A,Step 1: Rani faces East. Step 2: Turning left makes her face North. Step 3: Her left hand then points West. Correct option: A.,Reasoning,Direction Sense
"English: 119. Statements : 1. Rajib has a bruised knee. 2. Athletes very often get hurt at sports. Which of the following can be inferred?
Assamese: বিবৃতি: 1. ৰাজীবে আঁঠুত আঘাত পাইছে। 2. খেলুৱৈসকলে সঘনাই খেলত আঘাতপ্ৰাপ্ত হয়। বিবৃতিসমূহৰ পৰা নিম্নলিখিত কোনটো অনুমান কৰিব পাৰি?",1 is the effect of 2,2 is the effect of 1,1 is independent of 2,Specific conclusion is not possible,D,Step 1: The statements say Rajib has a bruised knee and that athletes often get hurt. Step 2: They do not establish that one statement causes the other or that Rajib's injury was caused by sport. Step 3: A specific conclusion cannot be inferred. Correct option: D.,Reasoning,Statement & Inference
"English: 120. If MAN = 182, then CAT = ?
Assamese: যদি MAN = 182 হয়, তেন্তে CAT = ?",96,60,138,120,B,"Step 1: MAN=182 can be obtained from alphabet positions: M=13 and N=14, with 13×14=182. Step 2: For CAT, C=3 and T=20. Step 3: 3×20=60. Correct option: B.",Reasoning,Coding-Decoding – Letter Values
"English: 121. Identify the word with one pair of consecutive alphabets placed together.
Assamese: বৰ্ণমালাৰ ক্ৰমাগত এযোৰ আখৰ একেলগে থকা শব্দটো চিনাক্ত কৰক।",Perimeter,Rigorous,Alphabet,Mariner,C,Step 1: Look for two consecutive alphabet letters occurring together in each word. Step 2: 'Alphabet' contains the consecutive pair AB. Step 3: Correct option: C.,Reasoning,Alphabet – Consecutive Letters
"English: 122. Which of the following pairs has similar relationship as School : Books ?
Assamese: নিম্নলিখিত কোনটো যোৰা ‘বিদ্যালয় : কিতাপ’ সম্পৰ্কৰ দৰে সদৃশ সম্পৰ্কৰে জড়িত?",Field : Athletes,Office : Files,Auditorium : Audience,Table : Legs,B,Step 1: School and Books have an institution-to-associated-items relationship. Step 2: Office is similarly associated with Files. Step 3: Correct option: B.,Reasoning,Analogy – Object Association
