question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
40,প্রদত্ত চিত্ৰৰ কোনটো অংশই প্রশিক্ষণৰ বাবে পঠিয়াবলগা বিবাহিত পৰিচাৰিকাক প্রতিনিধিত্ব কৰিব ? চিকিৎসালয়ত কৰ্মৰত ৰ Caw প্রশিক্ষণ প্রাপ্ত পৰিচাৰিকা বিবাহিত জনসংখ্যা,2,4,3,7 40. √õ∂M ø‰¬S1 Œﬂ¬±ÚÀÈ¬± ’—˙˝◊ √õ∂ø˙é¬Ì1 ¬ı±À¬ı ¬ÛøÍ¬˚˛±¬ı˘·± ø¬ı¬ı±ø˝Ó¬ ¬Ûø1‰¬±ø1ﬂ¬±ﬂ¬ √õ∂øÓ¬øÚøÒQ ﬂ¬ø1¬ı ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (4). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
41,0.09 + /1.69 ৰ মানঃ,1.78,1.6,1.33,1.5 41. 0.09 + 1.69 1 ˜±Ú –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (1.6). Therefore, option B is the answer.",General Science,General Science / General Awareness
42,(মেজৰ) ধ্যানচান্দৰ সৈতে জড়িত খেলৰ নাম চিনাক্ত কৰক।,Football,Wrestling,Boxing,Hockey 42. [Œ˜Ê1] Ò…±Ú‰¬±µ1 ∆¸ÀÓ¬ ÊøÎ¬ˇÓ¬ Œ‡˘1 Ú±˜ ø‰¬Ú±Mê ﬂ¬1ﬂ¬º,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Hockey 42. [Œ˜Ê1] Ò…±Ú‰¬±µ1 ∆¸ÀÓ¬ ÊøÎ¬ˇÓ¬ Œ‡˘1 Ú±˜ ø‰¬Ú±Mê ﬂ¬1ﬂ¬º). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
43,"{5, 8, 13, 20, 31, 40, 53} শৃংখলাৰ অশুদ্ধ পদটো চিনাক্ত কৰক।",13,31,20,"40 43. {5, 8, 13, 20, 31, 40, 53} ˙‘—‡˘±1 ’qX√ ¬ÛÀÈ¬± ø‰¬Ú±Mê ﬂ¬1ﬂ¬º",B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (31). Therefore, option B is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
44,6 চেমি ব্যাসাৰ্দ্ধৰ এক বৃত্তৰ পৰা 30° কোণ পৰিমাণৰ এটা Fore কাটি উলিওৱা হ’ল। বৃত্তখণ্ডটোৰ ক্ষেত্ৰফল চেমি’ এককত RIAs,3π,4π,5π,6π 44. 6 Œ‰¬ø˜ ¬ı…±¸±X«√ 1 ¤ﬂ¬ ¬ı‘M1 ¬Û1± 308 Œﬂ¬±Ì ¬Ûø1˜±Ì1 ¤È¬± ¬ı‘M‡G ﬂ¬±øÈ¬ Î◊¬ø˘›ª± ˝í˘º ¬ı‘M‡GÀÈ¬±1 Œé¬SÙ¬˘ Œ‰¬ø˜2 ¤ﬂ¬ﬂ¬Ó¬ ˝í¬ı –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (3π). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
45,আন্দামান আৰু নিকোবৰ দ্বীপপূঞ্জৰ পৰা কোনখন দেশলৈ দূৰত্ব সৰ্বাধিক ?,Myanmar,Indonesia,Vietnam,Malaysia 45. ’±µ±˜±Ú ’±1n øÚÀﬂ¬±¬ı1 Zœ¬Û¬Û”?1 ¬Û1± Œﬂ¬±Ú‡Ú Œ˙Õ˘ ”1Q ¸¬ı«±øÒﬂ¬ ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Vietnam). Therefore, option C is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
46,দাণ্ডিয়া ৰাস কোনখন ৰাজ্যৰ এক জনপ্ৰিয় লোকনৃত্য ?,Rajasthan,Gujarat,Odisha,Maharashtra 46. ±øG˚˛± 1±¸ Œﬂ¬±Ú‡Ú 1±Ê…1 ¤ﬂ¬ ÊÚø√õ∂˚˛ Œ˘±ﬂ¬Ú‘Ó¬… ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Gujarat). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
47,এজন মানুহে PAA Q লৈ অৰ্দ্ধবৃত্তাকাৰ পথ অতিক্ৰম কৰে আৰু তাৰ পিছত 4 কি.মি. দৈৰ্ঘ্যৰ হৃস্বতম পথেৰে পুনৰ [> লৈ ঘূৰি আহে। মানুহজনে অতিক্ৰম কৰা পথৰ মুঠ দৈৰ্ঘ্য হৈছে?,(4π+2) km,(2π+4) km,(π+2) km,(2π+2) km 47. ¤ÊÚ ˜±Ú≈À˝ P 1 ¬Û1± Q ∆˘ ’X«√¬ı‘M±ﬂ¬±1 ¬ÛÔ ’øÓ¬Sê˜ ﬂ¬À1 ’±1n Ó¬±1 ø¬ÛÂÓ¬ 4 øﬂ¬.ø˜. ∆‚«…1 ˝ò¶§Ó¬˜ ¬ÛÀÔÀ1 ¬Û≈Ú1 P ∆˘ ‚”ø1 ’±À˝º ˜±Ú≈˝ÊÀÚ ’øÓ¬Sê˜ ﬂ¬1± ¬ÛÔ1 ˜≈Í¬ ∆‚«… ∆˝ÀÂ –,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct ((2π+4) km). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
48,সাগৰ দেখিছা নামৰ অসমীয়া কবিতা সংগ্ৰহটো কোনে লিখা ?,Devakanta Barua,Navakanta Barua,Banikanta Kakati,Rajanikanta Bordoloi 48. ¸±·1 Œø‡Â± Ú±˜1 ’¸˜œ˚˛± ﬂ¬ø¬ıÓ¬± ¸—·Ë˝ÀÈ¬± Œﬂ¬±ÀÚ ø˘‡± ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Devakanta Barua). Therefore, option A is the answer.",English,"Vocabulary, Grammar, Usage & Comprehension"
49,1 চে.মি. বাহুযুক্ত এক সুষম ঘনকত পাব পৰা দীৰ্ঘতম কৰ্ণৰ দৈৰ্ঘ্য 8,2 cm,2 cm,3 cm,3 cm 49. 1 Œ‰¬.ø˜. ¬ı±U˚≈Mê ¤ﬂ¬ ¸≈¯∏˜ ‚Úﬂ¬Ó¬ ¬Û±¬ı ¬Û1± œ‚«Ó¬˜ ﬂ¬Ì«1 ∆‚«… –,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (3 cm 49. 1 Œ‰¬.ø˜. ¬ı±U˚≈Mê ¤ﬂ¬ ¸≈¯∏˜ ‚Úﬂ¬Ó¬ ¬Û±¬ı ¬Û1± œ‚«Ó¬˜ ﬂ¬Ì«1 ∆‚«… –). Therefore, option D is the answer.",General Science,General Science / General Awareness
50,নিম্নলিখিত কোনটো আনবোৰতকৈ পৃথক ?,Samaveda,Rigveda,Yajurveda,Ayurveda 50. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ’±ÚÀ¬ı±1Ó¬Õﬂ¬ ¬Û‘Ôﬂ¬ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Ayurveda 50. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ’±ÚÀ¬ı±1Ó¬Õﬂ¬ ¬Û‘Ôﬂ¬ ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
51,"দুটা ঘণ্টা A আৰু 8 ৰ A ঘণ্টাটো প্রতি 30 মিনিটৰ মূৰে মূৰে আৰু B ঘণ্টাটো প্রতি 25 মিনিটৰ মূৰে মূৰে বাজি উঠে। যদি দুয়োটা ঘণ্টাই 6 am ত একেলগে বাজি উঠিছিল, তেন্তে ঘণ্টা দুটা একেলগে বাজি উঠা ঠিক পৰৱৰ্তী সময়টো হ'ব ঃ",8 : 00 am,8 : 30 am,9 : 00 am,"9 : 30 am 51. ≈È¬± ‚∞I◊± A ’±1n B 1 A ‚∞I◊±ÀÈ¬± √õ∂øÓ¬ 30 ø˜øÚÈ¬1 ˜”À1 ˜”À1 ’±1n B ‚∞I◊±ÀÈ¬± √õ∂øÓ¬ 25 ø˜øÚÈ¬1 ˜”À1 ˜”À1 ¬ı±øÊ Î◊¬ÀÍ¬º ˚ø ≈À˚˛±È¬± ‚∞I◊±˝◊ 6 am Ó¬ ¤Àﬂ¬˘À· ¬ı±øÊ Î◊¬øÍ¬øÂ˘, ŒÓ¬ÀôL ‚∞I◊± ≈È¬± ¤Àﬂ¬˘À· ¬ı±øÊ Î◊¬Í¬± øÍ¬ﬂ¬ ¬Û1ªÓ«¬œ ¸˜˚˛ÀÈ¬± ˝í¬ı –",B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (8 : 30 am). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
52,"aMA+BAGLA টো ৪ ৰ উত্তৰ দিশত আছে; ANB অৰ্থ A, ৪ ৰ পূবত আছে; A-BAT A, BA পশ্চিমত আছে, তেন্তে (নেপচুন % শনি + ইউৰেনাছ — বৃহস্পতি) ত নেপচুন সাপেক্ষে ইউৰেনাছ কোনটো দিশত অৱস্থান কৰিব ?",South - West,North - East,North - West,"South - East 52. ˚ø A+B 1 ’Ô« A ŒÈ¬± B 1 Î◊¬M1 ø˙Ó¬ ’±ÀÂ; A%B 1 ’Ô« A, B 1 ¬Û”¬ıÓ¬ ’±ÀÂ; A−B 1 ’Ô« A, B 1 ¬Ûø(˜Ó¬ ’±ÀÂ, ŒÓ¬ÀôL [ÀÚ¬Û‰≈¬Ú % ˙øÚ + ˝◊Î◊¬À1Ú±Â − ¬ı‘˝¶ÛøÓ¬] Ó¬ ŒÚ¬Û‰≈¬Ú ¸±À¬ÛÀé¬ ˝◊Î◊¬À1Ú±Â Œﬂ¬±ÚÀÈ¬± ø˙Ó¬ ’ª¶ö±Ú ﬂ¬ø1¬ı ∑",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (South - West). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
53,© বেজবৰুৱা বোলচবিৰ 1969 সংস্কৰণত কোনে নাম ভূমিকাত অভিনয় কৰিছিল ?,Nipon Goswami,Biju Phukan,Dwipen Baruah,Brojen Baruah 53. Î¬0 Œ¬ıÊ¬ı1nª± Œ¬ı±˘‰¬ø¬ı1 1969 ¸—¶®1ÌÓ¬ Œﬂ¬±ÀÚ Ú±˜ ˆ”¬ø˜ﬂ¬±Ó¬ ’øˆ¬Ú˚˛ ﬂ¬ø1øÂ˘ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Brojen Baruah 53. Î¬0 Œ¬ıÊ¬ı1nª± Œ¬ı±˘‰¬ø¬ı1 1969 ¸—¶®1ÌÓ¬ Œﬂ¬±ÀÚ Ú±˜ ˆ”¬ø˜ﬂ¬±Ó¬ ’øˆ¬Ú˚˛ ﬂ¬ø1øÂ˘ ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
55,নিম্নলিখিত কোনটো আমেৰিকা যুক্তৰাষ্টৰ এখন ৰাজ্য ?,Hawai,Fiji,Papua New Guinea,Solomon Island 55. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ’±À˜ø1ﬂ¬± ˚≈Mê1±©Üò1 ¤‡Ú 1±Ê… ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Hawai). Therefore, option A is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
57,কোন দুখন দেশক গোবি মৰুভূমিয়ে স্পৰ্শ কৰিছে ?,Sudan and Egypt,Saudi Arabia and Iraq,Turkmenistan and Uzbekistan,China and Mongolia 57. Œﬂ¬±Ú ≈‡Ú Œ˙ﬂ¬ Œ·±ø¬ı ˜1nˆ”¬ø˜À˚˛ ¶Û˙« ﬂ¬ø1ÀÂ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (China and Mongolia 57. Œﬂ¬±Ú ≈‡Ú Œ˙ﬂ¬ Œ·±ø¬ı ˜1nˆ”¬ø˜À˚˛ ¶Û˙« ﬂ¬ø1ÀÂ ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
58,"কোনো এখন নগৰৰ জনসংখ্যা প্রতি বছৰে 10% ৰ হাৰত বৃদ্ধি পায়। নগৰখনৰ বৰ্তমান জনসংখ্যা 10,000 হ’লে 3 বছৰৰ অন্তত নগৰখনৰ মুঠ জনসংখ্যা হ'ব ঃ","13,310","15,310","13,510","13,000 58. Œﬂ¬±ÀÚ± ¤‡Ú Ú·11 ÊÚ¸—‡…± √õ∂øÓ¬ ¬ıÂÀ1 10% 1 ˝±1Ó¬ ¬ı‘øX√ ¬Û±˚˛º Ú·1‡Ú1 ¬ıÓ«¬˜±Ú ÊÚ¸—‡…± 10,000 ˝íÀ˘ 3 ¬ıÂ11 ’ôLÓ¬ Ú·1‡Ú1 ˜≈Í¬ ÊÚ¸—‡…± ˝í¬ı –",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (13,310). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
59,পি.টি. উষাই কোনবিধ খেলত অংশগ্ৰহণ কৰিছিল 2,Athletics,Badminton,Table Tennis,Cricket 59. ø¬Û.øÈ¬. Î◊¬¯∏±˝◊ Œﬂ¬±Úø¬ıÒ Œ‡˘Ó¬ ’—˙·Ë˝Ì ﬂ¬ø1øÂ˘ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Athletics). Therefore, option A is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
61,GS প্রণালীৰ দুটা সংখ্যা 11 আৰু 10 ৰ যোগফল GS প্ৰণালীত প্রকাশ কৰিলে প্রাপ্ত সংখ্যাটো 8,101,110,010,111 61. ∆ZÓ¬ √õ∂Ì±˘œ1 ≈È¬± ¸—‡…± 11 ’±1n 10 1 Œ˚±·Ù¬˘ ∆ZÓ¬ √õ∂Ì±˘œÓ¬ √õ∂ﬂ¬±˙ ﬂ¬ø1À˘ √õ∂±5 ¸—‡…±ÀÈ¬± –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (101). Therefore, option A is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
62,প্রদত্ত চিত্ৰই নিম্নলিখিত কোনটোক সৰ্বোত্তমভাবে চিত্ৰিত কৰিব ?,"Cat, Fat, Rat","Food, Clothes, Friends","Assam, India, Asia","Geometry, Botany, Economics 62. √õ∂M ø‰¬S˝◊ øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬±ﬂ¬ ¸À¬ı«±M˜ˆ¬±À¬ı ø‰¬øSÓ¬ ﬂ¬ø1¬ı ∑",A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Cat, Fat, Rat). Therefore, option A is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
63,Ae নদীদ্বীপ টিলাত উমানন্দ মন্দিৰ অৱস্থিত ?,Bhasmachal,Sandhyachal,Nilachal,Chitrachal 63. Œﬂ¬±Ú‡Ú Úœ Zœ¬Û øÈ¬˘±Ó¬ Î◊¬˜±Úµ ˜øµ1 ’ªø¶öÓ¬ ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Bhasmachal). Therefore, option A is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
65,নিম্নলিখিত কোনটো মহাভাৰতৰ এটা অংশ ?,Upanishads,Puranas,Vedas,Gita 65. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ˜˝±ˆ¬±1Ó¬1 ¤È¬± ’—˙ ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Gita 65. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ˜˝±ˆ¬±1Ó¬1 ¤È¬± ’—˙ ∑). Therefore, option D is the answer.",General Science,General Science / General Awareness
66,অসম জৈৱ শোধনাগাৰ প্রাইভেট লিমিটেডত ব্যৱহৃত প্রাথমিক কেঁচামাল হ'লঃ,Bamboo,Water Hyacinth,Sugarcane waste,Banana plants 66. ’¸˜ ∆Êª Œ˙±ÒÚ±·±1 √õ∂±˝◊Àˆ¬È¬ ø˘ø˜ÀÈ¬Î¬Ó¬ ¬ı…ª˝+Ó¬ √õ∂±Ôø˜ﬂ¬ Œﬂ“¬‰¬±˜±˘ ˝í˘ –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Bamboo). Therefore, option A is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
67,"2 ৰে হৰণ কৰিলে 1 ভাগশেষ পাব পৰা, 3 ৰে হৰণ কৰিলে ভাগশেষ 2 পাব পৰা আৰ 4 ৰে হৰণ কৰিলে ভাগশেষ 3 পাব পৰা সংখ্যাবোৰৰ ন্যুনতম স্বাভাৱিক সংখ্যাটো হৈছে?",23,17,31,"11 67. 2 Œ1 ˝1Ì ﬂ¬ø1À˘ 1 ˆ¬±·À˙¯∏ ¬Û±¬ı ¬Û1±, 3 Œ1 ˝1Ì ﬂ¬ø1À˘ ˆ¬±·À˙¯∏ 2 ¬Û±¬ı ¬Û1± ’±1n 4 Œ1 ˝1Ì ﬂ¬ø1À˘ ˆ¬±·À˙¯∏ 3 ¬Û±¬ı ¬Û1± ¸—‡…±À¬ı±11 Ú≈…ÚÓ¬˜ ¶§±ˆ¬±øªﬂ¬ ¸—‡…±ÀÈ¬± ∆˝ÀÂ –",D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (11 67. 2 Œ1 ˝1Ì ﬂ¬ø1À˘ 1 ˆ¬±·À˙¯∏ ¬Û±¬ı ¬Û1±, 3 Œ1 ˝1Ì ﬂ¬ø1À˘ ˆ¬±·À˙¯∏ 2 ¬Û±¬ı ¬Û1± ’±1n 4 Œ1 ˝1Ì ﬂ¬ø1À˘ ˆ¬±·À˙¯∏ 3 ¬Û±¬ı ¬Û1± ¸—‡…±À¬ı±11 Ú≈…ÚÓ¬˜ ¶§±ˆ¬±øªﬂ¬ ¸—‡…±ÀÈ¬± ∆˝ÀÂ –). Therefore, option D is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
68,নিম্নলিখিত কোনটো হৈছে কাণত পিন্ধা এক অসমীয় গহণা ?,Golpata,Horinsokua,Jonbiri,Thuriya 68. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ∆˝ÀÂ ﬂ¬±ÌÓ¬ ø¬Ûg± ¤ﬂ¬ ’¸˜œ˚˛ ·˝Ì± ∑,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Thuriya 68. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬± ∆˝ÀÂ ﬂ¬±ÌÓ¬ ø¬Ûg± ¤ﬂ¬ ’¸˜œ˚˛ ·˝Ì± ∑). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
69,কৌনো বিধায়িনী সংস্থা অথবা আইনীভাবে গঠিত আন কৌনো ন্যায়াধিকৰণে কোনো ৰাজহুৱা বিষয়াৰ অসৎ আচৰণৰ বিৰুদ্ধে ব্যৱস্থা লোৱা ৰাজনৈতিক আৰু আইনী প্ৰক্ৰিয়াক বোলা হয় 8,Impeachment,Re-election,Enforcement,Enactment 69. Œﬂ¬±ÀÚ± ø¬ıÒ±ø˚˛Úœ ¸—¶ö± ’Ô¬ı± ’±˝◊Úœˆ¬±À¬ı ·øÍ¬Ó¬ ’±Ú Œﬂ¬±ÀÚ± Ú…±˚˛±øÒﬂ¬1ÀÌ Œﬂ¬±ÀÚ± 1±ÊUª± ø¬ı¯∏˚˛±1 ’¸» ’±‰¬1Ì1 ø¬ı1nÀX√ ¬ı…ª¶ö± Œ˘±ª± 1±ÊÕÚøÓ¬ﬂ¬ ’±1n ’±˝◊Úœ √õ∂øSê˚˛±ﬂ¬ Œ¬ı±˘± ˝˚˛ –,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Impeachment). Therefore, option A is the answer.",General Science,General Science / General Awareness
70,এটা ত্ৰিভূজৰ তিনিটা কোণৰ মান 1: 3: 5 অনুপাতত আছে। ত্ৰিভূজটোৰ বৃহত্তম কোণৰ মান ঃ,708,908,1208,1008 70. ¤È¬± øSˆ”¬Ê1 øÓ¬øÚÈ¬± Œﬂ¬±Ì1 ˜±Ú 1 : 3 : 5 ’Ú≈¬Û±Ó¬Ó¬ ’±ÀÂº øSˆ”¬ÊÀÈ¬±1 ¬ı‘˝M˜ Œﬂ¬±Ì1 ˜±Ú –,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (1008 70. ¤È¬± øSˆ”¬Ê1 øÓ¬øÚÈ¬± Œﬂ¬±Ì1 ˜±Ú 1 : 3 : 5 ’Ú≈¬Û±Ó¬Ó¬ ’±ÀÂº øSˆ”¬ÊÀÈ¬±1 ¬ı‘˝M˜ Œﬂ¬±Ì1 ˜±Ú –). Therefore, option D is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
71,য’ত টয়’টাৰ মূখ্য কাৰ্যালয় অৱস্থিত ঃ,China,South Korea,Singapore,Japan 71. ˚íÓ¬ È¬í˚˛íÈ¬±1 ˜”‡… ﬂ¬±˚«±˘˚˛ ’ªø¶öÓ¬ –,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (Japan 71. ˚íÓ¬ È¬í˚˛íÈ¬±1 ˜”‡… ﬂ¬±˚«±˘˚˛ ’ªø¶öÓ¬ –). Therefore, option D is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
72,"যদি] ৰ পৰা n লৈ স্বাভাৱিক সংখ্যাবোৰৰ পূৰণফলৰ মান PC সূচীত কৰে, তেন্তে P, +P, +P, +P, ৰ মান 8",23,33,37,"31 72. ˚ø 1 1 ¬Û1± n ∆˘ ¶§±ˆ¬±øªﬂ¬ ¸—‡…±À¬ı±11 ¬Û”1ÌÙ¬˘1 ˜±Ú Pn Œ˚˛ ¸”‰¬œÓ¬ ﬂ¬À1, ŒÓ¬ÀôL P1+P2+P3+P4 1 ˜±Ú –",B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (33). Therefore, option B is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
73,কোনখন দেশে চুৱেজ খাল নিয়ন্তুণ কৰে ?,Turkey,Israel,Egypt,France 73. Œﬂ¬±Ú‡Ú ŒÀ˙ ¬‰≈¬ÀªÊ ‡±˘ øÚ˚˛LaÌ ﬂ¬À1 ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Egypt). Therefore, option C is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
74,নীচের কোনটির হজমে আমাদের মুখের লালা সাহায্য করে ?,Starch,Protein,Vitamins,Fat 74. ’±˜±1 ˜≈‡Ó¬ Ôﬂ¬± ˘±˘øÈ¬À˚˛ øÚ•ßø˘ø‡Ó¬ Œﬂ¬±ÚÀÈ¬±1 ø¬ıˆ¬—·ÚÓ¬ ¸˝±˚˛ ﬂ¬À1 ∑,A,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option A as correct (Starch). Therefore, option A is the answer.",General Science,General Science / General Awareness
75,BN দুখন মহাদেশৰ মাজত ভূমধ্যসাগৰ অৱস্থিত ?,Asia and Europe,Europe and Africa,North America and Africa,South America and Africa 75. Œﬂ¬±Ú ≈‡Ú ˜˝±À˙1 ˜±ÊÓ¬ ˆ”¬˜Ò…¸±·1 ’ªø¶öÓ¬ ∑,G,"Step 1: Read the question and compare all four choices. Step 2: The official final answer key marks Question 75 as G, meaning all options were considered correct because the question was found to be ambiguous. Step 3: Therefore, the official key should be retained as G.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
76,"SATURN ক TZUTSM fora ক’ড কৰা হয়, তেন্তে সদৃশ সূত্ৰৰে URANUS ক কেনেদৰে ক'ড কৰা হ'ব ?",TSZOTT,VQBMVR,VQBOUS,"VSBOVT 76. ˚ø SATURN ﬂ¬ TZUTSM ø˝‰¬±À¬ı ﬂ¬íÎ¬ ﬂ¬1± ˝˚˛, ŒÓ¬ÀôL ¸‘˙ ¸”SÀ1 URANUS ﬂ¬ Œﬂ¬ÀÚÀ1 ﬂ¬íÎ¬ ﬂ¬1± ˝í¬ı ∑",B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (VQBMVR). Therefore, option B is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
