question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 63. Pointing to Sarat in a photograph, Malini said, “His brother’s father is the only son of my grandfather”. How is Malini related to Sarat?
Assamese: এখন ফটোগ্ৰাফত শৰতৰ ছবিখনলৈ আঙুলিয়াই মালিনীয়ে ক’লে,-- “coda ভাতৃৰ পিতৃ মোৰ ককাদেউতাৰ একমাত্র সন্তান’’ ৷ মালিনী শৰতৰ সৈতে কোন সন্বন্ধৰে সম্পৰ্কিত? 4) খুড়ী (৪) আইতা?",Aunt,Grandmother,Mother,Sister,D,"Step 1: 'His brother's father' means Sarat's father. Step 2: This person is stated to be the only son of Malini's grandfather, i.e. Malini's father. Step 3: Therefore Malini and Sarat are siblings; Malini is Sarat's sister. Correct option: D.",Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
"English: 64. If ROBOTICS is coded as OROBITSC, then PROJECTS would be coded as
Assamese: যদি ROBOTICS# OROBITSC হিচাবে ক’ড কৰা হয়, তেন্তে PROJECTS! 4G হ’ব?",ROPEJTSC,RPJOCEST,RPJOECST,ROJPCEST,B,"Step 1: ROBOTICS→OROBITSC is formed by swapping each adjacent pair: RO→OR, BO→OB, TI→IT, CS→SC. Step 2: Apply the same rule to PROJECTS: PR→RP, OJ→JO, EC→CE, TS→ST. Step 3: The code is RPJOCEST. Correct option: B.",Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
"English: 65. In a zoo, the lion’s cage is towards the East of tiger’s cage. At the exact South of the lion’s cage, there is bear’s cage, which is towards the West of cheetah’s cage. In which direction is the tiger’s cage from the cheetah’s cage?
Assamese: এটা চিৰিয়াখানাত সিংহৰ গঁৰালটো বাঘৰ গঁৰালৰ পূব ফালে আছে। সিংহৰ গঁৰালৰ ঠিক দক্ষিণ ফালে ভালুকৰ থাকিব?",South-East,North-West,South-West,East,B,"Step 1: Put the tiger at (0,0); the lion is east at (1,0). Step 2: The bear is south of the lion at (1,−1), and the cheetah is east of the bear at (2,−1). Step 3: From the cheetah, the tiger is north-west. Correct option: B.",Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
"English: 66. At what speed should a car travel on a highway to reach a destination 12 km away in 15 minutes?
Assamese: ৰাজপথত 12 কি. মি. দূৰত্বৰ গন্তব্য স্থান 15 মিনিটত গৈ পাবলৈ এখন মটৰগাড়ীয়ে কিমান বেগত যাত্ৰা কৰিব লাগিব?",64 kmph,84 kmph,48 kmph,36 kmph,C,Step 1: Time=15 minutes=15/60=0.25 hour. Step 2: Speed=distance/time=12/0.25. Step 3: Speed=48 km/h. Correct option: C.,Reasoning / Mathematics,"Reasoning – classification, family relation, coding, direction, speed"
"English: 67. Which word would be the last in a standard English dictionary?
Assamese: এটা মানক ইংৰাজী অভিধানত কোনটো শব্দ শেষত থাকিব?",ADVERSE,ADVENT,ADVENTURE,ADVERTISE,D,Step 1: Compare the words alphabetically. ADVENT comes before ADVENTURE because the shorter complete word comes first. Step 2: ADVERSE comes before ADVERTISE because s comes before t at the differing position. Step 3: ADVERTISE is therefore the last. Correct option: D.,English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 68. Identify the correctly spelt word.
Assamese: শুদ্ধ বানানযুক্ত শব্দটো চিনাক্ত কৰক ৷?",Moderator,Moredator,Modarator,Moderetor,A,Step 1: Check the spellings letter by letter. Step 2: 'Moderator' is the correctly formed spelling; the other options contain misplaced or substituted letters. Step 3: Correct option: A.,English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 69. Which of the following words cannot be made using the letters of MENDICANT?
Assamese: আখৰসমূহ ব্যৱহাৰ কৰি নিম্নলিখিত কোনটো শব্দ গঠন কৰিব নোৱাৰি?",MEDICAL,MEDIAN,DETAIN,ANCIENT,A,"Step 1: MENDICANT contains M,E,N,D,I,C,A,T. Step 2: MEDICAL requires the letter L, which is absent. Step 3: Therefore MEDICAL cannot be formed. Correct option: A.",English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 70. At the Youth Parliament, certain number of country representatives sit in a linear row and all are facing the audience. Only ten persons sit to the left of Estonia. Fiji sits eighth to the left of Estonia. Angola sits fourth to the right of Bahrain. Canada sits to the immediate left of Denmark, and Denmark is the third from the extreme right end of the row. The number of countries between Estonia and Denmark is same as Bahrain and Estonia. Only six countries sit between Angola and Canada. In total, how many countries are seated at the Youth Parliament?
Assamese: ৪) 21?",19,21,32,17,A,"Step 1: Estonia is 11th because ten countries sit to its left; Fiji is therefore 3rd. Step 2: Denmark is third from the right and Canada immediately precedes it. Step 3: Applying the equal-gap condition between Estonia–Denmark and Bahrain–Estonia, together with the six-country gap between Angola and Canada, gives a total of 19 positions. Correct option: A.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 71. Which option is similar to Pencil : Student : School?
Assamese: পেঞ্চিল : শিক্ষাৰ্থী : বিদ্যালয়ৰ সৈতে একে ধৰণৰ সম্পৰ্ক থকা বিকল্পটো কোনটো?",Mouse : Eat : Biscuit,Computer : Officer : Bank,Pen : Writer : Book,Cash : Shopkeeper : Goods,B,"Step 1: A pencil is a tool used by a student in a school. Step 2: A computer is a tool used by an officer in a bank, giving the same tool–user–place pattern. Step 3: Correct option: B.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 72. If REAR = 42, TEAR = 44 and DEAR = 28, then which of the following sets is incorrectly paired?
Assamese: যদি REAR = 42, TEAR = 44 আৰু DEAR = 28, তেন্তে নিম্নলিখিত কোনটো যোৰ অশুদ্ধ?",PEAR = 40,FEAR = 32,BEAR = 26,GEAR = 31,B,"Step 1: The code is the sum of the alphabetical values of the letters: REAR=18+5+1+18=42 and TEAR=20+5+1+18=44. Step 2: FEAR should be 6+5+1+18=30, not 32. Step 3: Hence FEAR=32 is the incorrectly paired set. Correct option: B.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 73. Find the best option to fill in the last term : CIRCLE : GEOMETRY :: POETRY : ?
Assamese: শেষ পদটো পূৰণ কৰিবলৈ সৰ্বোত্তম বিকল্পটো বিচাৰক : CIRCLE : GEOMETRY :: POETRY : ?",CHAPTER,BOOKS,PROSE,LANGUAGE,D,"Step 1: A circle is studied under geometry, so the relation is 'subject/topic'. Step 2: Poetry is a form/area of language. Step 3: Therefore the best matching term is LANGUAGE. Correct option: D.",English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 74. Identify the pair with the same relationship as Child : Vaccination.
Assamese: Child : Vaccination-ৰ সৈতে একে সম্পৰ্ক থকা যোৰটো চিনাক্ত কৰক।",Fever : Medicine,Food : Cooking,Plant : Pesticide,Animals : Food,C,Step 1: A child receives vaccination as a preventive treatment. Step 2: A plant receives pesticide as a protective treatment against pests. Step 3: This gives the closest relationship. Correct option: C.,Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 75. Which of the following words would not fit correctly in the sentence? The person died of a ——— hit on his head.
Assamese: নিম্নলিখিত কোনটো শব্দ প্রদত্ত বাক্যটোত খাপ নাখায়? মূৰত আঘাতৰ ফলত ব্যক্তিজনৰ মৃত্যু হৈছে।?",lethal,fatal,deadly,subtle,D,"Step 1: Lethal, fatal and deadly can naturally describe a severe hit. Step 2: 'Subtle hit' does not fit the intended meaning of a harmful blow to the head. Step 3: Correct option: D.",English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 76. What would be the correct sequence of the following words as per the standard English dictionary? 1. Royal 2. Regal 3. Renal 4. Rebel
Assamese: নিম্নলিখিত শব্দসমূহক প্ৰামাণিক ইংৰাজী অভিধানৰ ক্ৰম অনুসৰি সজালে সঠিক ক্ৰমটো কি হ'ব? 1. Royal 2. Regal 3. Renal 4. Rebel","1, 2, 3, 4","4, 3, 2, 1","4, 2, 3, 1","4, 3, 1, 2",C,"Step 1: Arrange the words alphabetically: Rebel, Regal, Renal, Royal. Step 2: Their original numbers are 4, 2, 3, 1. Step 3: Correct sequence is 4,2,3,1. Correct option: C.",English / Verbal Reasoning,"Vocabulary, spelling & dictionary order"
"English: 77. Select the appropriate number to correctly continue the sequence 27, 30, 37, 50, ?, 98.
Assamese: ৪) 73?",69,73,81,91,A,"Step 1: Differences are +3, +7 and +13. Step 2: The increases in the differences follow +4, +6, then +8, giving the next difference +19. Step 3: 50+19=69. Correct option: A.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 78. Pallavi claims to be taller than Jyoti, but Smita who is taller than Pallavi knows that Pallavi is wrong. Which of the following can be said about their height?
Assamese: পল্লবীয়ে দাবী কৰে যে তাই জ্যোতিতকৈ ওখ, কিন্তু পল্লবীতকৈ ওখ স্মিতাই জানে যে পল্লবীৰ উক্তি ভুল। তেওঁলোকৰ উচ্চতা সম্পৰ্কত নিম্নলিখিত কোনটো ক’ব পাৰি?",Pallavi is definitely shorter than Jyoti,Pallavi and Jyoti are of the same height,Smita is the tallest of the three,Cannot be determined,D,"Step 1: Smita is taller than Pallavi. Step 2: Pallavi's claim to be taller than Jyoti is false, so Pallavi is not taller than Jyoti; she could be equal to or shorter than Jyoti. Step 3: The exact ordering cannot be fixed. Correct option: D.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 79. At a college function, Romola pointed out to an actor and said, “He is my mother-in-law’s only son’s nephew”. How is the actor’s mother related to Romola?
Assamese: এখন মহাবিদ্যালয়ৰ অনুষ্ঠানত ৰমলাই এজন অভিনেতালৈ আঙুলিয়াই কৈছিল, “তেওঁ মোৰ শাহুৱেকৰ একমাত্ৰ পুত্ৰৰ ভাতিজা।” অভিনেতাজনৰ মাতৃৰ সৈতে ৰমলাৰ সম্বন্ধ কি?",Aunt,Daughter,Niece,Sister-in-law,D,"Step 1: Romola's mother-in-law's only son is her husband. Step 2: The actor is her husband's nephew, so the actor is the son of one of her husband's siblings. Step 3: That sibling—the actor's mother—is Romola's sister-in-law. Correct option: D.",Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 80. Find the best option to fill in the third term : Gravity : Newton :: ? : Copernicus
Assamese: তৃতীয় পদটো পূৰণ কৰিবলৈ উপযুক্ত বিকল্পটো নিৰ্বাচন কৰক : মাধ্যাকৰ্ষণ : নিউটন :: ? : কপাৰনিকাছ?",Blood circulation,Heliocentric system,Rocket,Radioactivity,B,Step 1: Newton is associated with the law of gravitation. Step 2: Copernicus is associated with the heliocentric model of the solar system. Step 3: Therefore the matching term is Heliocentric system. Correct option: B.,Reasoning,"Analogy, coding, ordering, sequences & relationships"
"English: 81. A number was increased by 40% and thereafter decreased by 40%. The net change in the number in percentage is
Assamese: কোনো এটা সংখ্যাক প্রথমে 40% বৃদ্ধি কৰা হ’ল আৰু তাৰ পিছত 40% হাস কৰা হ’ল। শতাংশ পৰিমাণত সংখ্যাটোৰ মুঠ পৰিৱৰ্তন হৈছে?",16% increase,16% decrease,32% decrease,No change,B,"Step 1: Take the original number as 100. A 40% increase gives 140. Step 2: A 40% decrease of 140 is 56, leaving 84. Step 3: The change from 100 to 84 is 16% decrease. Correct option: B.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 82. If the average age of A, B and C is 22 years and the average age of B and C is 25 years, then find the age of A after 9 years from now.
Assamese: যদি A, B আৰু C-ৰ গড় বয়স 22 বছৰ আৰু B আৰু C-ৰ গড় বয়স 25 বছৰ, তেন্তে এতিয়াৰ পৰা 9 বছৰৰ পিছত A-ৰ বয়স কিমান হ'ব?",25 years,35 years,50 years,45 years,A,"Step 1: A+B+C=3×22=66. Step 2: B+C=2×25=50, so A=16. Step 3: After 9 years, A will be 25 years. Correct option: A.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 83. The smallest among 1/2, 1/3, 1/4 and 2/3 is
Assamese: 1/2, 1/3, 1/4 আৰু 2/3-ৰ ভিতৰত আটাইতকৈ সৰুটো কোনটো?",1/2,1/3,1/4,2/3,C,"Step 1: Compare the fractions 1/2, 1/3, 1/4 and 2/3. Step 2: For positive unit fractions, the larger denominator gives the smaller value; 1/4 is also smaller than 2/3. Step 3: Correct option: C (1/4).",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 84. If x/3 = y/4 = z/7, then (x + y + z)/z is equal to
Assamese: যদি x/3 = y/4 = z/7, তেন্তে (x + y + z)/z-ৰ মান কিমান?",2,3,4,5,A,"Step 1: From x/3=y/4=z/7, let the common ratio be k, so x=3k, y=4k and z=7k. Step 2: Therefore (x+y+z)/z=(3+4+7)/7=2. Step 3: Correct option: A.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 85. Two numbers are in the ratio 2 : 3 and the product of their HCF and LCM is 96. The sum of the two numbers is
Assamese: দুটা সংখ্যা 2: 3 অনুপাতত আছে আৰু সিহঁতৰ গ.সা.উ. আৰু ল.সা.গু.-ৰ পূৰণফল 96. সংখ্যা দুটাৰ যোগফল হৈছে?",18,20,22,24,B,"Step 1: For two positive integers, HCF×LCM equals their product. Step 2: Let the numbers be 2k and 3k. Then 6k²=96, so k=4. Step 3: The numbers are 8 and 12; their sum is 20. Correct option: B.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 86. The value of ∛(8²) is
Assamese: ৪) 3 (c) 2 (D) 4 ৪6. 4৪2 ৰ মান হ’ব?",1,3,2,4,D,Step 1: Interpret the expression as 8^(2/3). Step 2: The cube root of 8 is 2. Step 3: Squaring 2 gives 4. Correct option: D.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 87. A certain amount invested in a firm would become double at the end of one month, but it deducts an amount of R120 on every doubling. A person invests an amount of R105 and continues for 3 months without investing any additional amount. At the end of 3 months, his net income is
Assamese: এটা প্ৰতিষ্ঠানত বিনিয়োগ কৰা এটা নিৰ্দিষ্ট ধন প্ৰতিমাহে দুগুণ হয়, কিন্তু প্ৰতিবাৰ দুগুণ হ'লে ₹120 কৰ্তন কৰা হয়। এজন ব্যক্তিয়ে ₹105 বিনিয়োগ কৰি আৰু কোনো অতিৰিক্ত ধন নিদিয়াকৈ 3 মাহ চলালে, 3 মাহৰ শেষত তেওঁৰ নিট আয় কিমান?",R55,R0,R270,R45,B,Step 1: Start with R105. After the first doubling: 210−120=90. Step 2: Second doubling: 180−120=60. Step 3: Third doubling: 120−120=0. Hence the net amount after 3 months is R0. Correct option: B.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 88. The count of prime numbers between 80 and 100 is
Assamese: 80 আৰু 100-ৰ মাজত থকা মৌলিক সংখ্যাৰ সংখ্যা কিমান?",2,5,3,4,C,"Step 1: Check the primes from 81 to 99: 83, 89 and 97 are prime. Step 2: All the other numbers in that interval are composite. Step 3: There are 3 primes. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 89. Find the value of [(10⁷ ÷ 10²) + (10³ ÷ 10⁻²)] ÷ 10⁵.
Assamese: ৰ মান নিৰ্ণয় কৰক?",100,200,2,1,C,Step 1: Apply the laws of exponents to the powers of 10 in the expression. Step 2: Reduce the divisions to powers with the same base and simplify the remaining terms. Step 3: The expression reduces to 2. Correct option: C.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 90. If A B : = 3, then 144 36 A B : is
Assamese: ৪) 12 (Cc) 3 (D) 16 90. যদি A: B=3, তেন্তে 1444, : 368 ৰ মান হ’ব?",4,12,3,16,B,"Step 1: A/B=3. Step 2: Therefore A=3B, so 144A/(36B)=4(A/B)=12. Step 3: Correct option: B.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 91. The fraction equivalent of the recurring number 2.19̅ is
Assamese: পুনৰাবৃত্ত দশমিক সংখ্যা 2.19̅-ৰ সমতুল্য ভগ্নাংশটো কোনটো?",271/99,217/99,219/90,291/90,B,Step 1: Interpret the recurring number as 2.1919… = 2+0.1919…. Step 2: 0.1919… = 19/99. Step 3: 2+19/99=(198+19)/99=217/99. Correct option: B.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 92. The largest of 2⁶, 3⁵, 4⁴ and 5³ is
Assamese: 2⁶, 3⁵, 4⁴ আৰু 5³-ৰ ভিতৰত আটাইতকৈ ডাঙৰটো কোনটো?",2⁶,3⁵,4⁴,5³,C,"Step 1: Evaluate the powers: 2⁶=64, 3⁵=243, 4⁴=256 and 5³=125. Step 2: Compare the four results. 256 is the largest. Step 3: Therefore the correct option is C (4⁴).",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 93. For a bicycle rider, it is seen that for every two complete pedaling, the front wheel of the bicycle makes 3 complete turns. If the radius of the bicycle wheel is 70 cm, the distance (in metres) covered by the bicycle in 10 complete pedaling is
Assamese: এজন চাইকেল আৰোহীৰ ক্ষেত্ৰত দেখা গ'ল যে তেওঁ পেডেলত দুটা সম্পূৰ্ণ পাক মাৰিলে আগচকাটোৱে 3টা সম্পূৰ্ণ পাক মাৰে। যদি চকাটোৰ ব্যাসাৰ্ধ 70 চে.মি. হয়, তেন্তে পেডেলত 10টা সম্পূৰ্ণ পাক মাৰিলে অতিক্ৰম কৰা দূৰত্ব (মিটাৰত) কিমান?",7p,14p,21p,28p,C,"Step 1: Every 2 pedal rotations produce 3 wheel rotations, so 10 pedal rotations produce 15 wheel rotations. Step 2: Wheel circumference=2πr=2π×70=140π cm. Step 3: Distance=15×140π=2100π cm=21π m. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 94. The base and the height of a right-angled triangle are equal in magnitude and the length of the third side is 2√2 cm. The area of the triangle is
Assamese: এটা সমকোণী ত্ৰিভূজৰ ভূমি আৰু উচ্চতাৰ দৈৰ্ঘ্য সমান আৰু তৃতীয়টো বাহুৰ দৈৰ্ঘ্য 2√2 চে.মি.। ত্ৰিভূজটোৰ ক্ষেত্ৰফল কিমান?",2 sq. cm,2√2 sq. cm,4 sq. cm,4√2 sq. cm,A,"Step 1: The right triangle has equal legs and hypotenuse 2√2 cm. If each leg is a, then a√2=2√2, so a=2 cm. Step 2: Area=1/2×2×2=2 sq. cm. Correct option: A.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 95. In a range of consecutive numbers starting with 1, all the even numbers are removed. From the remaining, consider the first 7 numbers. The sum of these 7 numbers is
Assamese: ৰ পৰা আৰম্ভ কৰা ক্ৰমিক সংখ্যাৰ কোনো এটা পৰিসৰত ইয়াত থকা সকলোবোৰ Ya সংখ্যা আঁতৰাই দিয়া হ’ল। অৱশিষ্ট সংখ্যাসমূহৰ প্রথম 7টা সংখ্যা বিবেচনা কৰা হ’ল। এই টা সংখ্যাৰ মুঠ যোগফল হৈছে?",35,42,49,56,C,"Step 1: Removing all even numbers leaves 1,3,5,7,9,11,13,... Step 2: The first seven are 1,3,5,7,9,11,13. Step 3: Their sum is 49. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 96. Two numbers A and B are first added and squared to get C. In the next step, B is subtracted from A and the result is squared to get D. The result C − D expressed in terms of A and B is
Assamese: দুটা সংখ্যা A আৰু B-ৰ যোগফলক বৰ্গ কৰি C পোৱা গ'ল। পৰৱৰ্তী ধাপত A-ৰ পৰা B বিয়োগ কৰি ফলাফলক বৰ্গ কৰি D পোৱা গ'ল। C − D-ক A আৰু B-ৰ সহায়ত প্ৰকাশ কৰিলে প্ৰকাশৰাশিটো কি হ'ব?",A(A+B),4(A−B),AB/4,4AB,D,Step 1: C=(A+B)² and D=(A−B)². Step 2: C−D=(A+B)²−(A−B)². Step 3: Expanding and cancelling gives 4AB. Correct option: D.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 97. Find the least number by which 1250 must be multiplied to make it a perfect square.
Assamese: ৪) 3 (c) 5 (D) 2 9. ন্যূনতম কি সংখ্যাৰে 12508 পূৰণ কৰিলে এটা পূৰ্ণবৰ্গ সংখ্যা পোৱা যাব?",4,3,5,2,D,"Step 1: 1250=2×5^4. Step 2: The exponent of 2 is odd, so multiply by 2 to make it 2²×5^4. Step 3: This is (50)², a perfect square. Correct option: D.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 98. When the numerator of a fraction is multiplied by 4 and the denominator by 9, the fraction reverses. The fraction is
Assamese: এটা ভগ্নাংশৰ লবক 4-ৰে আৰু হৰক 9-ৰে পূৰণ কৰিলে ভগ্নাংশটোৰ প্ৰতিলোম পোৱা যায়। ভগ্নাংশটো কোনটো?",4/5,2/3,5/4,3/2,D,"Step 1: Let the fraction be a/b. The condition gives 4a/(9b)=b/a. Step 2: Thus 4a²=9b², so 2a=3b. Step 3: Therefore a/b=3/2. Correct option: D.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 99. At what percentage of simple interest does an amount of money double in 12 years?
Assamese: সৰল সুতৰ কোনটো হাৰত এটা মূলধন 12 বছৰৰ মূৰত দুগুণ হ'ব?",9 1/2%,8 1/2%,8 1/3%,9 1/3%,C,"Step 1: For simple interest, SI=PRT/100. Step 2: Doubling means SI=P, so P=P×R×12/100. Step 3: R=100/12=8⅓%. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 100. The ratio of the radii of two circles is 1 : 3. The ratio of their areas is
Assamese: দুটা বৃত্তৰ ব্যাসাৰ্ধৰ অনুপাত 1 : 3। বৃত্ত দুটাৰ ক্ষেত্ৰফলৰ অনুপাত কিমান হ'ব?",1:6,2:9,1:9,6:9,C,Step 1: Circle area is proportional to r². Step 2: Radii 1:3 therefore give areas 1²:3²=1:9. Step 3: Correct option: C.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 101. 100% of 100 when added to 200% of 200 would result
Assamese: ৰ লগত 200 ৰ 200% যোগ কৰিলে ফলাফল হ’ব?",300,400,500,600,C,Step 1: 100% of 100 is 100. Step 2: 200% of 200 is 400. Step 3: 100+400=500. Correct option: C.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 102. If a + b = 8, b + c = 20 and a + c = 18, then the value of a² + b² is
Assamese: যদি a + b = 8, b + c = 20 আৰু a + c = 18, তেন্তে a² + b²-ৰ মান কিমান?",34,43,46,64,A,"Step 1: Add (a+b)+(a+c)−(b+c): 8+18−20=6=2a, so a=3. Step 2: Then b=5 from a+b=8. Step 3: a²+b²=9+25=34. Correct option: A.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 103. If 2ˣ = 32, then the value of x is
Assamese: যদি 2ˣ = 32, তেন্তে x-ৰ মান কিমান?",4,5,6,7,B,"Step 1: 32=2^5. Step 2: If 2^x=32, then 2^x=2^5. Step 3: Hence x=5. Correct option: B.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 104. The sum of 5 consecutive odd numbers is found to be 95. The largest of the numbers is
Assamese: 5টা ক্ৰমিক অযুগ্ম সংখ্যাৰ যোগফল 95। সংখ্যাকেইটাৰ ভিতৰত আটাইতকৈ ডাঙৰটো কিমান?",17,21,23,19,C,"Step 1: Five consecutive odd numbers have their middle number equal to the average, so the middle is 95/5=19. Step 2: The numbers are 15,17,19,21,23. Step 3: The largest is 23. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 105. If the decimal number 34p5 is divisible by 9, then the value of p is
Assamese: ৪) 7?",8,7,4,6,D,"Step 1: A number is divisible by 9 when its digit sum is divisible by 9. Step 2: For 34p5, the digit sum is 3+4+p+5=12+p. Step 3: 12+p=18 gives p=6. Correct option: D.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 106. The maximum area of the circle that can be drawn within a square of side 4 cm is
Assamese: 4 চে.মি. বাহুৰ বৰ্গক্ষেত্ৰ এটাৰ ভিতৰত আঁকিব পৰা বৃত্তৰ সৰ্বোচ্চ ক্ষেত্ৰফল কিমান?",4π² cm²,4π cm²,π/4 cm²,π/2 cm²,B,"Step 1: The largest circle inside a square is the inscribed circle. Step 2: Its diameter equals the square side, 4 cm, so r=2 cm. Step 3: Area=πr²=4π cm². Correct option: B.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 107. If today is Sunday, then the day after 92 days will be
Assamese: যদি আজি ৰবিবাৰ হয়, তেন্তে 92 দিনৰ মূৰৰ দিনটো হ’ব?",Saturday,Friday,Sunday,Monday,D,Step 1: 92 days = 91+1=13 weeks+1 day. Step 2: One day after Sunday is Monday. Step 3: Correct option: D.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 108. When three times of a given number is subtracted from the square of the number, the result is the number itself. The number is
Assamese: ৪) 2 (Cc) -2 (D) -4 কোনো এক সংখ্যাৰ বৰ্গমানৰ পৰা সংখ্যাটোৰ তিনি গুণ বিয়োগ কৰিলে পুনৰ সেই সংখ্যাটোৱেই পোৱা যায়। সংখ্যাটো হৈছে?",4,2,−2,−4,A,"Step 1: Let the number be n. The condition is n²−3n=n. Step 2: n²−4n=0, so n(n−4)=0. Step 3: Among the listed choices, n=4. Correct option: A.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 109. In Roman numeral, XCI represents the decimal number
Assamese: ৪) 21?",41,21,91,111,C,"Step 1: In Roman numerals, X=10 and C=100. Step 2: XC means 100−10=90. Step 3: Add I=1, giving 91. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 110. A ladder of length 13 m is leaning against a vertical wall with the upper end at the height of 5 m. The horizontal distance between the foot of the wall and the lower end of the ladder is
Assamese: 13 মি. দৈৰ্ঘ্যৰ জখলা এডাল উলম্ব দেৱাল এখনত হেলান দি আছে আৰু ইয়াৰ ওপৰৰ মূৰটো 5 মি. উচ্চতাত আছে। দেৱালখনৰ পাদবিন্দু আৰু জখলাৰ তলৰ মূৰৰ মাজৰ অনুভূমিক দূৰত্ব কিমান?",9 m,5 m,11 m,12 m,D,"Step 1: The ladder, wall and ground form a right triangle with hypotenuse 13 m and vertical side 5 m. Step 2: Horizontal distance=√(13²−5²)=√144=12 m. Step 3: Correct option: D.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 111. The median of the sequence of numbers 2, – 1, 3, 1, – 2, 5, 6 is
Assamese: সংখ্যাক্ৰমটোৰ মধ্যমা হৈছে?",1,– 1,2,3,C,"Step 1: Arrange the numbers: −2, −1, 1, 2, 3, 5, 6. Step 2: There are seven values, so the fourth value is the median. Step 3: Median=2. Correct option: C.",Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
"English: 112. A person moves along a path such that he is always away from a given point by 7 m. After moving for some time, he again reaches his starting point. The approximate distance the person moved during the time is
Assamese: এজন মানুহে এটা নিৰ্দিষ্ট বিন্দুৰ পৰা সদায় 7 মি. দূৰত্ব বজাই ৰাখি এটা পথত গতি কৰে। কিছু সময়ৰ পিছত তেওঁ পুনৰ আৰম্ভণিৰ স্থানত উপনীত হয়। এই সময়ছোৱাত তেওঁ অতিক্ৰম কৰা দূৰত্বৰ আনুমানিক মান কিমান?",22 m,44 m,122 m,144 m,B,Step 1: Remaining at a fixed distance of 7 m from a point means the path is a circle of radius 7 m. Step 2: Returning to the starting point corresponds to one complete circumference. Step 3: Circumference=2π×7=14π≈44 m. Correct option: B.,Mathematics,"Arithmetic, Number System, Algebra, Geometry & Mensuration"
