question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
78,“পকা ধানৰ মাজে মাজে” শীৰ্ষক গীতৰ গীতিকাৰ কোন ?,Tafazzul Ali,Anandiram Barua,Parbati Prasad Barua,Rudra Barua,D,"Step 1: Identify the concept tested in Question 78. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Rudra Barua) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
80,পোংগল মুখ্যতঃ কোন ৰাজ্যৰ শীতকালীন লোক উৎসব ?,Tamil Nadu,Bihar,Madhya Pradesh,Punjab,A,"Step 1: Identify the concept tested in Question 80. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Tamil Nadu) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
81,রীতা চৌধুরীর উপন্যাস দেও লাংখুই অসমের নিন্নলিখিত সম্প্রদায়গুলির মধ্যে কোনটি বিশেষভাবে উল্লেখ পেয়েছে ?,The Kacharis,The Mishings,The Tiwas,The Mottocks,C,"Step 1: Identify the concept tested in Question 81. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (The Tiwas) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
82,ভাবতবর্ষত এখন বৈদ্যুতিক বাহন,White,Yellow,Green,Black,C,"Step 1: Identify the concept tested in Question 82. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Green) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
83,"576 আৰু 4/5, 5/6, 6/7-ৰ ভিতৰত আটাইতকৈ সৰু ভগ্নাংশটো কোনটো ?",,,,5 6 7 8 4 5 6 7,A,"Step 1: Identify the concept tested in Question 83. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A () as correct. Therefore, option A is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
84,পৌনঃপুনিক সংখ্যা 0.222...-ৰ সমতুল্য ভগ্নাংশ কোনটো ?,,,,49 9 19 9,D,"Step 1: Identify the concept tested in Question 84. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (49 9 19 9) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
85,ভাৰতৰ সাধাৰণ নির্বাচনত ভোটদানৰ যোগ্য হ'বলৈ বর্তমান ন্যুনতম বয়স কিমান ?,21 (Twenty one) years,20 (Twenty) years,18 (Eighteen) years,16 (Sixteen) years,C,"Step 1: Identify the concept tested in Question 85. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (18 (Eighteen) years) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
86,নিম্নলিখিত কোনটো স্কেল ভূমিকম্পৰ প্রারল্য জুখিবৰ বাবে ব্যবহাৰ কৰা হয় ?,Richter Scale,Enhanced Fuzita Scale,Volumetric Scale,Reaumer Scale,A,"Step 1: Identify the concept tested in Question 86. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Richter Scale) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
87,"পিতৃ-মাতৃৰ বিয়াৰ এবছৰৰ পিছত বাবলীৰ জন্ম হৈছিল। বৰ্তমান বাবলীৰ বয়স ছয় বছৰ আৰু পিতৃৰ বয়স তাইতকৈ পঁচিশ বছৰ অধিক। যদি পিতৃৰ বয়স তেওঁৰ পত্নীৰ বয়সতকৈ দুই বছৰ অধিক, তেন্তে কিমান বছৰ বয়সত বাবলীৰ মাতৃৰ বিবাহ হৈছিল ?",22 years,23 years,21 years,cannot be determined,A,"Step 1: Identify the concept tested in Question 87. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (22 years) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
88,মটৰ গাড়ীৰ দ্বাবা সংঘটিত “হিট এগু ৰান” পথ দুর্ঘটনাত মৃত্যুজনিত কাৰণত ক্ষতিপুৰণৰ ধনবাশি হৈছে [ () এক লাখ টকা,Rupees One Lakh,Rupees Two Lakhs,Rupees Two Lakh Fifty Thousand,Rupees Fifty Thousand,B,"Step 1: Identify the concept tested in Question 88. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Rupees Two Lakhs) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
89,অমিল সংখ্যাটো নিৰ্ণয় কৰক।,436,298,746,639,D,"Step 1: Identify the concept tested in Question 89. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (639) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
90,নিন্ললিখিত কোন গবাকী শ্রীমন্ত শংকবদেরব প্রথম শিষ্যসমূহৰ এজন আছিল ?,Madhabdev,Lachit Barphukan,Ananta Kandali,Mahendra Narayan,A,"Step 1: Identify the concept tested in Question 90. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Madhabdev) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
91,121 + 81 + 25-ৰ সমান কিমান ?,121,81,25,36,C,"Step 1: Identify the concept tested in Question 91. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (25) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
92,এখন ইংৰাজী অভিধানত তলত দিয়া কোনটো শব্দ প্ৰথমে আহিব ?,Hectometer,Decimeter,Kilometer,Centimeter,D,"Step 1: Identify the concept tested in Question 92. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Centimeter) as correct. Therefore, option D is the answer.",English,Vocabulary / Grammar / Usage
94,এক ভূখগুৰ তিনি দিশে পানীবে আবৰি থাকিলে তাক কোরা হয় £,Peninsula,Island,Isthmus,Atoll,A,"Step 1: Identify the concept tested in Question 94. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Peninsula) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
95,এটা সমবাহু ত্ৰিভুজৰ প্ৰতিটো কোণৰ মান কিমান ?,908,608,458,308,B,"Step 1: Identify the concept tested in Question 95. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (608) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
97,লঘু বাহন এখনৰ চালকে অত্যাধিক বেগত গাড়ী চলোরাৰ দণ্ড হৈছে [,"` 1,000/- to ` 2,000/-","` 3,000/-",` 500/-,"` 5,000/-",A,"Step 1: Identify the concept tested in Question 97. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (` 1,000/- to ` 2,000/-) as correct. Therefore, option A is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
99,এটা আয়তক্ষেত্ৰৰ পৰিসীমা 34 চে.মি. আৰু ইয়াৰ দৈৰ্ঘ্যৰ মাপ প্ৰস্থৰ মাপতকৈ 7 চে.মি. অধিক। আয়তক্ষেত্ৰটোৰ ক্ষেত্ৰফল কিমান ?,40 cm2,60 cm2,238 cm2,64 cm2,B,"Step 1: Identify the concept tested in Question 99. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (60 cm2) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
100,ভাবতৰ সংবিধানৰ পিতু স্বব্ূপে কাক জনা যায় ?,Pt. Jawaharlal Nehru,Dr. Bhimrao Ambedkar,Dr. Rajendra Prasad,Dr. Sarvepalli Radhakrishnan,B,"Step 1: Identify the concept tested in Question 100. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Dr. Bhimrao Ambedkar) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
101,অস্ট্রেলিয়াৰ বাজধানী হৈছে £,Sydney,Canberra,San Francisco,Sao Paulo,B,"Step 1: Identify the concept tested in Question 101. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Canberra) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
102,শবাইঘাটৰ যুদ্ধত লাচিত ববফুকনৰ হাতত পবাজিত হোরা মোগল সেনাৰ সেনাপতি কোন আছিল ?,Man Singh,Vikram Singh,Vijay Singh,Ram Singh,D,"Step 1: Identify the concept tested in Question 102. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Ram Singh) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
103,"4 6, 8, 12, 14, 18, *, *, 30 শৃংখলাটো অব্যাহত বাখিবলৈ কোন সংখ্যা বহুবাব লাগিব ?","20, 22","20, 24","20, 26","20, 28",B,"Step 1: Identify the concept tested in Question 103. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (20, 24) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
104,4 অংকযুক্ত ন্যুনতম সংখ্যা আৰু 3 অংকযুক্ত সর্বোচ্চ সংখ্যাৰ মাজৰ পার্থক্য হৈছে £,1,11,101,111,A,"Step 1: Identify the concept tested in Question 104. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (1) as correct. Therefore, option A is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
105,নতুনকৈ পঞ্জীয়ন কৰা এখন বাহনে কিমান দিন সম্পূৰ্ণ কৰিলে প্ৰদূষণ নিয়ন্ত্ৰণ প্ৰমাণপত্ৰ ল’ব লাগে ?,1 year,2 years,6 months,3 years,A,"Step 1: Identify the concept tested in Question 105. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (1 year) as correct. Therefore, option A is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
106,পবিবাহক বাহনৰ ড্রাইভিং লাইচেঞ্চ পাবৰ বাবে আবেদনকাবীব ন্যুনতম কেই বছৰৰ বাবে লঘু বাহনৰ ড্রাইভিং লাইচেঞ্চ থাকিব লাগিব £,3 years,1 year,2 years,5 years,B,"Step 1: Identify the concept tested in Question 106. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (1 year) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
107,তলত দিয়া কোনটো স্থানত বৃহত্তম ক্ৰিকেট ষ্টেডিয়ামটো আছে ?,Dharamshala,Kolkata,Motera,Hyderabad,C,"Step 1: Identify the concept tested in Question 107. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Motera) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
108,ইউৰোপৰ পৰা ভাৰতলৈ সাগৰীয় পথটো কোনে বিচাৰি উলিয়াইছিল ?,Christopher Columbus,Marco Polo,Vasco da Gama,James Cook,C,"Step 1: Identify the concept tested in Question 108. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Vasco da Gama) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
109,নিম্নলিখিত কোনটো ভাৰতৰ এক কেন্দ্রশাসিত অঞ্চল ?,Jammu and Kashmir,Goa,Sikkim,Telangana,A,"Step 1: Identify the concept tested in Question 109. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Jammu and Kashmir) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
110,নিন্নলিখিত কোনটো এক মহাদেশৰ নাম নহয় ?,North America,South America,Arctic,Antarctica,C,"Step 1: Identify the concept tested in Question 110. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Arctic) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
111,ভাৰতৰ পেট্ৰ’ল চালিত গাড়ীসমূহত নিম্নলিখিত কোনবিধ সঁজুলি থকাটো বাধ্যতামূলক ?,Spare wheel,Windshield wipers,Catalytic converter,GPS tracker Paper-V/A 53 P.T.O,C,"Step 1: Identify the concept tested in Question 111. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Catalytic converter) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
112,কোনো এক দশমিক সংখ্যাৰ দশমিক বিন্দুটোক তিনিটা অংক সৌফালে স্থানান্তবিত কৰিবৰ বাবে সংখ্যাটোক পুৰণ কৰিবলগা গুণকটো হৈছে £,10,100,"1,000","10,000",C,"Step 1: Identify the concept tested in Question 112. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (1,000) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
113,অস্মিতা চলিহাই কোন খেলত ভাৰতৰ হৈ খেলে ?,Badminton,Table Tennis,Lawn Tennis,Lawn Bowl,A,"Step 1: Identify the concept tested in Question 113. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Badminton) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
114,নিম্নলিখিত সমূহৰ কোনটো এটা মহাদেশৰ নাম ?,Austria,Armenia,Andrea,Australia,D,"Step 1: Identify the concept tested in Question 114. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Australia) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
115,এটা দশমিক সংখ্যাৰ দশমিক বিন্দুটো দুটা অংক বাওঁফাললৈ স্থানান্তৰিত কৰিবলৈ হৰণ কৰিবলগীয়া সংখ্যাটো কি ?,0.1,10,100,1000,C,"Step 1: Identify the concept tested in Question 115. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (100) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
116,95-ক দশমিক সংখ্যাত প্ৰকাশ কৰিলে হ’ব —,0.5,0.75,0.65,0.25 3 /10,D,"Step 1: Identify the concept tested in Question 116. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (0.25 3 /10) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
117,"এজন ব্যক্তিয়ে এটা ত্ৰুটিপূৰ্ণ সামগ্ৰী ₹900-ত ক্ৰয় কৰে, ₹100-ত মেৰামতি কৰে আৰু সামগ্ৰীটো ₹1800-ত বিক্ৰী কৰে। তেওঁৰ লাভৰ শতকৰা হাৰ কিমান ?",100%,80%,90%,180%,B,"Step 1: Identify the concept tested in Question 117. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (80%) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
118,উইনষ্টন চার্টিল কোনখন দেশৰ প্রধানমন্ত্রী আছিল ?,United Kingdom,Brazil,United States of America,Switzerland,A,"Step 1: Identify the concept tested in Question 118. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (United Kingdom) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
121,এটা বর্গক্ষেত্রৰ ক্ষেত্রফল হৈছে 169 মিটাবহ। বর্গক্ষেত্রটোৰ বাহুৰ জোখ হ'ব 8,17 metre,19 metre,12 metre,13 metre,D,"Step 1: Identify the concept tested in Question 121. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (13 metre) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
124,কোনখন দেশত 2020 গ্ৰীষ্মকালীন অলিম্পিক খেল অনুষ্ঠিত হৈছিল ?,South Korea,Japan,China,Singapore,B,"Step 1: Identify the concept tested in Question 124. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Japan) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
125,425639-ত “5”-ৰ স্থানীয় মান হৈছে —,5600,25000,5000,5639,C,"Step 1: Identify the concept tested in Question 125. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (5000) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
126,ইষ্ট ইণ্ডিয়া কোম্পানীৰ বিৰুদ্ধে 1857 চনত হোৱা বিদ্ৰোহক নিম্নলিখিত কোন গৰাকী ৰাণীয়ে নেতৃত্ব দিছিল ?,Rani Ahilya Bai,Rani Laxmi Bai,Chand Bibi,Rezia Sultana,B,"Step 1: Identify the concept tested in Question 126. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Rani Laxmi Bai) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
127,শুদ্ধ বানানযুক্ত পদটো চিনাক্ত কৰক।,Traffic Single,Traffic Signel,Traffic Signal,Trafic Signal,C,"Step 1: Identify the concept tested in Question 127. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Traffic Signal) as correct. Therefore, option C is the answer.",English,Vocabulary / Grammar / Usage
128,অসমত বাণিজ্যিক বাহনৰ ক্ষেত্রত নি্নলিখিত কোনটো বাধ্যতামূলক নহয় ?,Vehicle Registration,Night Driving permit,Pollution Under Control,Fitness Certificate,B,"Step 1: Identify the concept tested in Question 128. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Night Driving permit) as correct. Therefore, option B is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
129,এম্বুলেন্সসমূহত ৰঙা আৰু নীলা লাইট কিয় ব্যৱহাৰ কৰা হয় ?,"To alert all drivers, even those with colour blindness",Because they look good,Red stands for danger and Blue for emergency,They can be seen from far,D,"Step 1: Identify the concept tested in Question 129. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (They can be seen from far) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
132,"12, 24 আৰু 30 ৰ গসাগু হৈছে ঃ",2,3,6,12,C,"Step 1: Identify the concept tested in Question 132. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (6) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
133,ভাৰতৰ কেন্দ্ৰীয় বাজেট কোনে দাখিল কৰে ?,The Finance Minister,The Prime Minister,The Home Minister,The President of India,A,"Step 1: Identify the concept tested in Question 133. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (The Finance Minister) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
134,টুইটাৰৰ নতুন নাম কি ?,AXE,XX,EAX,X,D,"Step 1: Identify the concept tested in Question 134. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (X) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
135,ভাৰতলৈ ঘূৰি অহাৰ পূৰ্বে মোহনদাস কৰমচান্দ গান্ধী কোন দেশত আছিল ?,South Africa,Uganda,Egypt,Sri Lanka,A,"Step 1: Identify the concept tested in Question 135. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (South Africa) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
136,সংখ্যাৰ এটা ক্রম এনেদৰে আছে যাতে প্রতিটো সংখ্যা ইয়াৰ পূর্বৰ সংখ্যাটোতকৈ 3 অধিক। ক্রমটো -2 বে আবন্ত কৰিলে ইয়াৰ দশম সংখ্যাটো হৈছে ঃ,23,25,28,30,B,"Step 1: Identify the concept tested in Question 136. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (25) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
137,একেধৰণৰ নহোৱা পদটো চিনাক্ত কৰক।,Payment,Rent,Price,Bill,A,"Step 1: Identify the concept tested in Question 137. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Payment) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
140,কোনখন যুদ্ধত ইষ্ট ইণ্ডিয়া কোম্পানীৰ সেনাই চিৰাজউদ্দৌলাক পৰাজিত কৰিছিল ?,Battle of Buxar,Battle of Plassey,Battle of Nalapani,Battle of Jhelum,B,"Step 1: Identify the concept tested in Question 140. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Battle of Plassey) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
142,অসমৰ পৌৰ এলেকাৰ পথত মটৰ চাইকেলৰ বাবে উচ্চতম গতি সীমা হৈছে —,80 km/hour,70 km/hour,60 km/hour,50 km/hour,D,"Step 1: Identify the concept tested in Question 142. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (50 km/hour) as correct. Therefore, option D is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
143,দীপা কৰ্মকাৰে কোনবিধ খেলত ভাৰতক প্ৰতিনিধিত্ব কৰিছিল ?,Badminton,Shooting,Gymnastics,Table Tennis,C,"Step 1: Identify the concept tested in Question 143. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Gymnastics) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
145,বৰডুবি টিলিঙা মন্দিৰ কোনখন নগৰৰ সমীপত অৱস্থিত ?,Bongaigaon,Dhemaji,Tezpur,Duliajan,D,"Step 1: Identify the concept tested in Question 145. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (Duliajan) as correct. Therefore, option D is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
146,এটা চতুৰ্ভুজৰ কোণসমূহৰ মুঠ যোগফল কিমান ?,908,1808,3608,4008,C,"Step 1: Identify the concept tested in Question 146. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (3608) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
148,জংকি আৰু পানেই কোন সম্প্ৰদায়ক ভিত্তি কৰি লিখা গল্পৰ দুটা চৰিত্ৰ ?,Dimasa,Idu Misimi,Mising,Singpho,C,"Step 1: Identify the concept tested in Question 148. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Mising) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
149,"ত্ৰিকোণীয় আকৃতিৰ যান-বাহন পথৰ চিহ্নটো যিটো শ্ৰেণীৰ অন্তৰ্ভুক্ত, সেয়া হৈছে —",Mandatory,Informative,Cautionary,Emergency,C,"Step 1: Identify the concept tested in Question 149. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Cautionary) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
150,"যদি 12 টা আমৰ দাম ₹300 আৰু 15 টা আপেলৰ দাম ₹450 হয়, তেন্তে 4 টা আম আৰু 3 টা আপেলৰ ক্ৰয়ৰ বাবে মুঠ খৰচ কিমান ?",` 290,` 109,` 190,` 209,C,"Step 1: Identify the concept tested in Question 150. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (` 190) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
