question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
"Who or What is Doraemon ?","A river in Brazil","A Hollywood actor","A type of aircraft","A cartoon character","D","Doraemon is a famous fictional Japanese manga/anime cartoon character, a robotic cat from the 22nd century.","Assam GK","Pop Culture & Media"
"In which sport did Monalisa Baruah (Mehta) and Tridib Duarah represent Assam ?","Badminton","Volleyball","Taekwondo","Table Tennis","D","Monalisa Baruah Mehta (Arjuna awardee) and Tridib Duarah were elite Table Tennis players from Assam.","Assam GK","Sports / Assam Sports Icons"
"A person borrows a sum of Rs 1,00,000 at a simple interest of 6% per annum for 2 years and invests the amount at a compound interest of 6% per annum for 2 years. After returning the borrowed amount with interest, the person earns a profit of :","Rs 360","Rs 120","Rs 480","Rs 240","A","Profit = Difference between CI and SI for 2 years = P * (r/100)² = 100000 * (6/100)² = 100000 * 0.0036 = Rs 360.","Mathematics","Simple & Compound Interest"
"Identify the correct mirror image of the figure.","(A)","(B)","(C)","(D)","B","A vertical mirror placed to the right/left inverts the figure horizontally. Option B matches the correct reflection.","Reasoning","Non-Verbal Reasoning / Mirror Images"
"Which of the following is an award exclusively for music industry ?","The Oscars","Emmy Awards","Golden Globe","Grammy Awards","D","The Grammy Awards are presented by the Recording Academy to recognize outstanding achievements purely in the music industry.","Assam GK","Awards & Honors"
"A person purchases x number of items at the rate of Rs x per item. The shop-keeper gives him a total discount of Rs x after which he pays Rs 156. The cost per item after the discount is :","Rs 13","Rs 12","Rs 16","Rs 14","B","Total original price = x * x = x². Paid amount = x² - x = 156 => x² - x - 156 = 0 => (x - 13)(x + 12) = 0 => x = 13. Discounted total = 156 for 13 items. Cost per item after discount = 156 / 13 = Rs 12.","Mathematics","Algebra / Profit & Loss"
"Which type of Democracy is presently being practised in India ?","Direct Democracy","Representative Democracy","Social Democracy","Totalitarian Democracy","B","India follows a Representative Democracy (Parliamentary form), where citizens elect representatives to make laws and govern on their behalf.","Assam GK","Indian Polity"
"Evaluate: sqrt(225/729) - sqrt(25/144) - sqrt(16/81)"," - 7/12"," - 20/27"," - 5/9"," - 11/36","D","15/27 - 5/12 - 4/9 = 5/9 - 4/9 - 5/12 = 1/9 - 5/12 = (4 - 15)/36 = -11/36.","Mathematics","Fractions & Square Roots"
"Which of the following is incorrect in regards of the ICC Men’s ODI Cricket World Cup ?","India has won the Cup twice.","Australia has won the maximum number of times.","England won the Cup in the first tournament.","Bangladesh has never won the Cup.","C","West Indies (not England) won the inaugural ICC Cricket World Cup in 1975.","Assam GK","Sports / World Cup Cricket"
"In which country was Christopher Columbus born ?","Spain","England","Portugal","Italy","D","Christopher Columbus was an Italian explorer born in the Republic of Genoa (present-day Italy).","Assam GK","World History"
"How many times has Brazil won the Football World Cup ?","Three","Five","Four","Seven","B","Brazil national football team has won the FIFA World Cup a record 5 times (1958, 1962, 1970, 1994, 2002).","Assam GK","Sports / FIFA World Cup"
"Which of the following diagrams best represents Writers, Teachers and Musicians of our society ?","(A)","(B)","(C)","(D)","D","A person can be a Writer, Teacher, and Musician simultaneously. Thus, three intersecting circles (Venn diagram) best depict these overlapping professional groups.","Reasoning","Venn Diagrams"
"Who has been honoured with Assam Baibhav in 2024 ?","Ratan Tata","Ranjan Gogoi","Tapan Saikia","Ranjit Shekhar Mooshahary","B","Former Chief Justice of India and Rajya Sabha MP Ranjan Gogoi was honored with the 'Assam Baibhav' award (the highest civilian award of Assam) for 2023–24.","Assam GK","Assam Current Affairs & Awards"
"A geometric figure has two pairs of parallel lines, intersecting at right angle. One pair is of length 8 cm each, and the other pair is of 6 cm. If the longer pair size is increased by 2 cm each, while the shorter pair is reduced by 2 cm, which of the following statements is correct ?","Area of the figure decreases","Perimeter of the figure increases","Perimeter of the figure decreases","Area of the figure increases","A","Initial rectangle: dimensions 8 x 6 => Area = 48 cm², Perimeter = 2(8+6) = 28 cm. Modified dimensions: (8+2) = 10 cm and (6-2) = 4 cm. New Area = 10 x 4 = 40 cm², Perimeter = 2(10+4) = 28 cm. Perimeter stays same, Area decreases from 48 to 40 cm².","Mathematics","Mensuration / 2D Geometry"
"Which of the following places does not host IPL matches ?","Mumbai","Dharamshala","Patna","Hyderabad","C","Patna (Moin-ul-Haq Stadium) does not host Indian Premier League (IPL) matches.","Assam GK","Sports / IPL"
"Who is the Director of the movie “Village Rockstars” ?","Rima Das","Hima Das","Munin Das","Queen Das","A","'Village Rockstars' (2017) is an acclaimed Assamese film written, directed, and produced by Rima Das.","Assam GK","Assam Cinema"
"Apart from Jaipur, which was the home ground of Rajasthan Royals during IPL 2023 ?","Guwahati","Dharamshala","Bhubaneshwar","Panaji","A","Barsapara Cricket Stadium in Guwahati served as the second home venue for Rajasthan Royals during IPL 2023.","Assam GK","Sports / IPL in Assam"
"Change into passive voice: Previous climbers had cut steps in the ice.","Steps had been cut in the ice","Steps were cut in the ice","Climbers cut steps in the ice","Steps cut in the ice by climbers","A","Past perfect active 'had cut' changes to past perfect passive 'had been cut'. Object 'steps' becomes subject: ""Steps had been cut in the ice...""","English","Active and Passive Voice"
"Change into passive voice: No one can do anything unless someone gives us more information.","Nothing can be done without giving information.","Nothing can be done unless we are given more information.","Nothing can be done unless someone gives more information.","Nothing can be done without information.","B","'No one can do anything' converts to 'Nothing can be done', and 'unless someone gives us...' converts to 'unless we are given...'.","English","Active and Passive Voice"
"Which word from the following is similar to beckon ?","light","beg","motion","hear","C","'Beckon' means to signal or gesture with the hand or head to encourage someone to come near or follow; its closest synonym is 'motion'.","English","Synonyms"
"Which of these words is closest in meaning to the word kin ?","exult","twist","friend","relative","D","'Kin' refers to one's family and relations; hence 'relative' is closest in meaning.","English","Synonyms"
"What would be the synonym for the word educe ?","demand","elicit","ideal","unlawful","B","'Educe' means to bring out or develop something latent; its synonym is 'elicit'.","English","Synonyms"
"Choose the sentence that correctly communicates the meaning in the following sentence.","Barua was usually able to catch the six thirty-five train from Guwahati","Barua was usually able to catch a six thirty-five train from Guwahati","Barua was usually able to catch on six thirty-five train from Guwahati","Barua was usually able to latch the six thirty-five train from Guwahati","A","Option A uses correct grammar and prepositional structure (""catch the [specific time] train"").","English","Grammar & Sentence Structure"
"Put the verb in brackets into the present perfect tense: Where you (be)? — I (be) to the dentist.","have you had, I have been","have you gone, I have been","have you been, I’ve been","went, I went","C","Correct present perfect interrogative/declarative forms are 'have you been' and 'I've been'.","English","Grammar / Tenses"
"Read the passage (Okapi) and answer: The word hide in the first paragraph means :","smell","evade","skin","land","C","In zoological contexts, 'striped hide' refers to the animal's skin/pelt.","English","Reading Comprehension / Contextual Meaning"
"Read the passage (Okapi) and answer: The function of the third paragraph is to :","pose a question about Okapi behaviour","rebut a theory about Okapi behaviour","counter the assertion that Okapis are rare","explain why Okapis appeared to be rare","D","The 3rd paragraph provides reasons (camouflage, solitary behavior, interior forest living) explaining why Okapis appeared to be rare to observers.","English","Reading Comprehension"
"Okapis stay within the forest interior. The passage relates this to the __________ of the Okapi.","scarcity","mind","culture","size","A","The text links their preference for the interior to their perceived scarcity and specialized leaf diet away from forest edges.","English","Reading Comprehension"
"Zoologists assume that Okapis are relics and they respect the forestland borders. It means :","Okapis are humanoid creatures","They are culturally inclusive","They communicate with other bordering creatures","None of the above","D","None of options A, B, or C accurately reflects the evolutionary biological sense of 'relics respecting forest borders'.","English","Reading Comprehension"
"Mr. Powers was so gullible that he believed even the most outlandish excuses of his insincere employees. Choose the definition of gullible.","intelligent","naive","dishonest","critical","B","'Gullible' means easily persuaded to believe something; easily deceived, which equates to 'naive'.","English","Contextual Vocabulary"
"The new shipping and receiving building is an expansive facility, large enough to meet our growing needs. Choose the definition of expansive.","obsolete","meagre","spacious","costly","C","'Expansive' in this context means covering a wide area or extensive/large, synonymous with 'spacious'.","English","Contextual Vocabulary"
"The first person to use a gear system on bicycles was :","H.J. Lawson","Kirkpatrick Macmillan","Pierre Michaux","James Starley","D","Paragraph 4 explicitly states that James Starley ""put a gear on the pedals to make the bicycle more efficient"".","English","Reading Comprehension"
"Which of the following statements from the passage represents the writer’s opinion ?","The safety bicycle would look familiar to today’s cyclists.","Two hundred years ago, bicycles didn’t even exist.","The Michaux brothers called their bicycle a vélocipède.","Macmillan’s machine had tyres with iron rims.","A","""The safety bicycle would look familiar to today's cyclists"" expresses an interpretive judgment/opinion of the writer, whereas others are historical facts.","English","Reading Comprehension / Fact vs Opinion"
"As it is used in the sentence, the underlined word revolutionized means :","cancelled","changed drastically","became outdated","exercised control over","B","'Revolutionized' means to change something fundamentally or drastically.","English","Reading Comprehension / Contextual Meaning"
"Macmillan added iron rims to the tyres of his bicycle to :","add weight to the bicycle","make the tyres last longer","make the ride less bumpy","make the ride less tiring","B","Paragraph 2 states: ""Macmillan's machine had tyres with iron rims to keep them from getting worn down"" (i.e. to make them last longer).","English","Reading Comprehension"
"Find the analogy: SHELF : BOOKCASE","arm : leg","stage : curtain","bench : chair","key : piano","D","A shelf is a constituent part/component of a bookcase, just as a key is a component of a piano.","English","Analogy"
"This application was written __________ a pen.","by","with","off","nib","B","The preposition 'with' is used for instruments or tools used to perform an action (""written with a pen"").","English","Prepositions"
"Choose the correct pair to fill up the blanks: He put some __________ on the hinge, so that it should not __________.","oil, squeak","water, spill","colour, stand","paper, seat","A","'Oil' is applied to door hinges to prevent squeaking sounds.","English","Vocabulary & Grammar Fillers"
"Light pollution passage: The passage implies that the most serious damage done by light pollution is to our :","art history","sense of paleness","cultural advancement","questing spirit","D","The passage concludes: ""when we lose the ability to connect visually with the vastness of the universe... we lose our connection with... our sense of wonder"" (questing/wondering spirit).","English","Reading Comprehension"
"Everyone admired ___________ his courage.","at","of","for","no word required","D","The verb 'admire' is a transitive verb that takes a direct object without a preposition (""admired his courage"").","English","Prepositions / Sentence Correction"
"Culture Shock Passage: How is reality defined as in the passage ?","meaning","action","feeling","web","A","The very first sentence states: ""Reality for human beings is not action or feeling but meaning.""","English","Reading Comprehension"
"Culture Shock Passage: In the context of the passage, which of the following does not serve as a symbol ?","whistle","graffiti","flashing red light","culture shock","D","Whistle, graffiti, and red light are listed as symbols. Culture shock is the inability to read symbols, not a symbol itself.","English","Reading Comprehension"
"In the context of the topic of the passage, when do we feel lost, or frightened ?","When we lose in a competition","When we slip outside the symbolic web of culture","When we cannot locate our action","None of the above","B","The passage states: ""We feel lost, unsure of how to act, and sometimes frightened — a consequence of slipping outside the symbolic web of culture.""","English","Reading Comprehension"
