"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"The smallest positive integer that is simultaneously divisible by 6, 8 and 12 is","24","18","48","36","A","$\text{LCM}(6, 8, 12) = 24$[cite: 5, 6].","Mathematics","LCM & HCF"
"The difference between the smallest 3-digit even natural number and the largest 2-digit even natural number is","1","2","3","4","B","Smallest 3-digit even natural number = 100. Largest 2-digit even natural number = 98. Difference $= 100 - 98 = 2$[cite: 5, 6].","Mathematics","Number System"
"Identify the adverb in the following sentence : He could not go deep into the forest.","Deep","Go","He","Into","A","'Deep' functions as an adverb modifying the verb 'go'[cite: 5, 6].","English","Parts of Speech / Adverbs"
"From the list below, identify the antonym of ‘cheap’.","Price","Poor","Expensive","Rice","C","The antonym of 'cheap' is 'expensive'[cite: 5, 6].","English","Antonyms"
"What is the synonym of ‘furious’?","Laughter","Witch","Impure","Angry","D","'Furious' means extremely angry[cite: 5, 6].","English","Synonyms"
"Identify the incorrectly spelt word.","Square","Parpendicular","Diagonal","Triangle","B","The correct spelling is 'Perpendicular'[cite: 5, 6].","English","Spelling"
"Give one-word substitution for ‘a person who loots and plunders ships’.","Robber","Pirate","Dacoit","Looter","B","A 'Pirate' is a person who loots ships at sea[cite: 5, 6].","English","One Word Substitution"
"What is meant by ‘to get the green signal’ ?","To stop others","To go away","To get permission","To get the keys of a car","C","'To get the green signal' means to receive permission to proceed[cite: 5, 6].","English","Idioms & Phrases"
"Fill in the blank : Lokesh can jump very _____.","high","higher","highest","tall","A","The positive degree adverb 'high' correctly fits after 'very'[cite: 5, 6].","English","Grammar / Adverbs"
"What is the collective noun for ‘fish’?","Swarm","Pack","School","Herd","C","A group of fish is called a 'school'[cite: 5, 6].","English","Nouns / Collective Nouns"
"Fill in the correct conjunctions in the following : _____ Reshma _____ Padma knew the directions, and now they are lost.","Either, or","Both, and","Not only, but also","Neither, nor","D","'Neither... nor' correctly expresses that neither of them knew directions[cite: 5, 6].","English","Conjunctions"
"Which of the following punctuation marks is called ‘apostrophe’ ?","(-)","(/)","(’ )","(:)","C","Symbol (’) represents an apostrophe[cite: 5, 6].","English","Punctuation"
"Which of the following means similar to ‘elevated’ ?","Topped","Wished","Promoted","Transferred","C","'Elevated' means raised to a higher position, synonymous with 'Promoted'[cite: 5, 6].","English","Synonyms"
"What is meant by ‘to create a ruckus’ ?","Make loud noise","An artistic work","Produce music","Bake a cake","A","'To create a ruckus' means to make a loud noise or disturbance[cite: 5, 6].","English","Idioms & Phrases"
"Which of the following sentences is correct?","She had not coming to the wedding.","She is not come to the wedding.","She did not coming to the wedding.","She is not coming to the wedding.","D","\"She is not coming to the wedding\" is grammatically correct in present continuous tense[cite: 5, 6].","English","Grammar / Tenses"
"Choose the correct option : We _____ the National Anthem every morning at school.","sanged","sing","sings","singed","B","Plural subject 'We' takes base verb 'sing' for habitual actions[cite: 5, 6].","English","Subject-Verb Agreement / Tenses"
"Which of the following pronouns refers to ‘myself’ ?","We","They","I","You","C","The first-person singular subject pronoun corresponding to 'myself' is 'I'[cite: 5, 6].","English","Pronouns"
"Identify the incorrectly spelt word.","Damsel","Wicked","Volcano","Mountein","D","The correct spelling is 'Mountain'[cite: 5, 6].","English","Spelling"
"Identify the correctly spelt word.","Mongrel","Marval","Martal","Middel","A","'Mongrel' is correctly spelt[cite: 5, 6].","English","Spelling"
"Identify the preposition in the following sentence : The cat was sleeping under the cot.","Sleeping","Under","Cot","Was","B","'Under' is the preposition showing spatial relation[cite: 5, 6].","English","Prepositions"
"Identify the incorrect set.","Bad : Worse : Worst","Poor : Poorest : Poorer","Rich : Richer : Richest","Good : Better : Best","B","Option B places superlative 'Poorest' before comparative 'Poorer', making it incorrect[cite: 5, 6].","English","Degrees of Comparison"
"Identify the verb in the following sentence : Neeraj ran very fast.","Very","Neeraj","Fast","Ran","D","'Ran' is the action verb[cite: 5, 6].","English","Parts of Speech / Verbs"
"Which word of the following is an example of pronoun?","Again","Pink","They","Speed","C","'They' is a personal pronoun[cite: 5, 6].","English","Pronouns"
"What would be the antonym of ‘friend’ ?","Foe","Unfriend","Dislike","Buddy","A","The direct antonym of 'friend' is 'foe'[cite: 5, 6].","English","Antonyms"
"From the list below, identify the synonym of ‘lament’.","Sad","Mourn","Copied","Molecule","B","'Lament' means to express grief, synonymous with 'Mourn'[cite: 5, 6].","English","Synonyms"
"Which word is incorrectly spelt?","Basically","Essentially","Primarily","Varbally","D","The correct spelling is 'Verbally'[cite: 5, 6].","English","Spelling"
"Give one-word substitution for ‘life history of a person written by another person’.","Autobiography","Biography","Monograph","Bigamy","B","A 'Biography' is an account of a person's life written by another author[cite: 5, 6].","English","One Word Substitution"
"What does ‘in a nutshell’ mean?","Peanuts and almonds","Very tough explanation","Expressed in short","Important discussion","C","'In a nutshell' means expressed briefly and concisely[cite: 5, 6].","English","Idioms & Phrases"
"Fill in the blank : Tuhin ran _____ than Zubin to win the race.","fast","faster","fastest","fasting","B","Comparative degree 'faster' is used when comparing two using 'than'[cite: 5, 6].","English","Degrees of Comparison"
"Identify the collective noun for ‘dogs’.","Gang","Herd","Team","Pack","D","A group of dogs is called a 'pack'[cite: 5, 6].","English","Nouns / Collective Nouns"
"Which of the following punctuation marks is called ‘hyphen’?","(-)","(/)","(’ )","(:)","A","Symbol (-) represents a hyphen[cite: 5, 6].","English","Punctuation"
"What is the opposite of ‘sorrow’?","Joy","Happy","Laugh","Beauty","A","The noun antonym of 'sorrow' is 'Joy'[cite: 5, 6].","English","Antonyms"
"Which of the following means ‘to get rid of a problem’ ?","To hammer it out","To get to the bottom of","To get the monkey off one’s back","To get the acts together","C","The idiom 'to get the monkey off one's back' means to free oneself from a problem[cite: 5, 6].","English","Idioms & Phrases"
"Identify the grammatically incorrect sentence.","I want to go home now.","I wish to go home now.","I shall go home now.","I went to go home now.","D","\"I went to go home now\" incorrectly combines past verb 'went' with present adverb 'now'[cite: 5, 6].","English","Grammar / Tenses"
"Choose the correct option : Is your brother _____ to the gym?","gone","going","go","went","B","Present continuous form 'going' completes the question correctly[cite: 5, 6].","English","Grammar / Tenses"
"Which pronoun is used for ‘non-living thing’ ?","I","We","Us","It","D","The pronoun 'It' is used for non-living objects[cite: 5, 6].","English","Pronouns"
"Identify the incorrectly spelt word.","Monkey","Moniker","Matress","Molten","C","The correct spelling is 'Mattress'[cite: 5, 6].","English","Spelling"
