"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_subtopic_tag"
"What does “get out of hand” mean ?","To walk away","To be very slippery","To become uncontrollable","To get lost","C","The idiom 'get out of hand' means to lose control over a situation.","English","Idioms & Phrases"
"Fill in the blank : Pradhan is a __________ driver.","Good","Better","Expert","Best","A","'Good' is the appropriate positive-degree adjective describing the noun 'driver'.","English","Grammar - Fill in the blanks"
"The HCF of 12, 24 and 30 is :","2","3","6","12","C","Factors: 12 = 6*2, 24 = 6*4, 30 = 6*5. The Highest Common Factor (HCF) is 6.","Mathematics","HCF & LCM"
"Who presents the Union Budget of India ?","The Finance Minister","The Prime Minister","The Home Minister","The President of India","A","The Union Budget of India is presented annually by the Union Minister of Finance.","Assam GK","Indian Polity & Civics"
"The new name for Twitter is :","AXE","XX","EAX","X","D","Twitter was rebranded to 'X' by Elon Musk.","General Science","Current Affairs & Tech"
"In which country did Mohandas Karamchand Gandhi stay before coming to India ?","South Africa","Uganda","Egypt","Sri Lanka","A","Mahatma Gandhi lived in South Africa for 21 years before returning permanently to India in 1915.","Assam GK","Indian History"
"A sequence of numbers is written in such a way that each number is greater than the preceding number by 3. Starting the sequence from −2, the 10th number in the sequence is :","23","25","28","30","B","This is an Arithmetic Progression: a = -2, d = 3. 10th term T_10 = a + (10 - 1)d = -2 + 9(3) = -2 + 27 = 25.","Mathematics","Progressions (AP/GP)"
"Identify the item which is not of same type.","Payment","Rent","Price","Bill","A","Payment is an action of settling a debt, whereas Rent, Price, and Bill are monetary values/charges.","Reasoning","Odd One Out"
"Identify the Antonym of WORST.","Better","Best","Good","Fantastic","B","'Best' is the direct superlative antonym of 'Worst'.","English","Vocabulary - Antonyms"
"Choose the correct option : Teacher __________ Puja for her bad handwriting.","Scold","Scolding","Scolded","Scolder","C","'Scolded' is the past simple verb form appropriate for completing the sentence.","English","Grammar - Fill in the blanks"
"The armies of East India Company defeated Siraj U’ Daulah at which battle ?","Battle of Buxar","Battle of Plassey","Battle of Nalapani","Battle of Jhelum","B","The British East India Company led by Robert Clive defeated Siraj-ud-Daulah in the Battle of Plassey (1757).","Assam GK","Indian History"
"Which Pronoun can be used to refer to your friends running at a distance ?","We","It","That","They","D","'They' is the third-person plural pronoun used to refer to a group of people at a distance.","English","Parts of Speech"
"Maximum speed limit for Motor cycles on Municipal Roads in Assam :","80 km/hour","70 km/hour","60 km/hour","50 km/hour","D","The prescribed maximum speed limit for motorcycles on urban/municipal roads in Assam is 50 km/hour.","General Science","Traffic Rules & Driving Knowledge"
"In which sport did Deepa Karmakar represent India ?","Badminton","Shooting","Gymnastics","Table Tennis","C","Dipa Karmakar is an Indian artistic gymnast who represented India at the 2016 Summer Olympics.","Assam GK","Sports & Olympics"
"Which of the following is the Article in “Our instructor asked us to push the car” ?","The","Instructor","Push","Asked","A","'The' is the definite article in the given sentence.","English","Parts of Speech"
"The Bordubi Tilinga Mandir is near which town ?","Bongaigaon","Dhemaji","Tezpur","Duliajan","D","The Tilinga Mandir (Bell Temple) at Bordubi is located near Duliajan town in Tinsukia district, Assam.","Assam GK","Geography & Culture of Assam"
"The sum of the angles of a quadrilateral is :","90°","180°","360°","400°","C","The sum of interior angles of any four-sided polygon (quadrilateral) is equal to 360°.","Mathematics","Geometry"
"Which of the following is correct ?","Good : Better : Best","Good : Gooder : Goodest","Best : Bester : Bestest","Better : Betterer : Betterest","A","'Good : Better : Best' represents the correct positive, comparative, and superlative degrees of the adjective.","English","Degrees of Comparison"
"Jonki and Panei are characters of a story based on which community ?","Dimasa","Idu Misimi","Mising","Singpho","C","Jonki and Panei are the central characters in Rajanikanta Bordoloi's famous novel 'Miri Jiyori', based on Mising community life.","Assam GK","Assam Literature & Culture"
"The triangular shaped traffic road sign falls in the category of __________.","Mandatory","Informative","Cautionary","Emergency","C","Triangular traffic road signs are used to provide Cautionary or Warning signals to drivers.","General Science","Traffic Rules & Driving Knowledge"
"If 12 mangoes cost ` 300 and 15 apples cost ` 450, then the total cost of 4 mangoes and 3 apples is :","` 290","` 109","` 190","` 209","C","Cost of 1 mango = 300 / 12 = Rs 25. Cost of 1 apple = 450 / 15 = Rs 30. Total cost = (4 * 25) + (3 * 30) = 100 + 90 = Rs 190.","Mathematics","Unitary Method"
