"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"What is the minimum number of straight lines required to draw the following figure?","16","14","11","12","A","Counting all horizontal, vertical, and slanting unique straight lines needed to construct the figure gives 16 lines[cite: 3].","Reasoning","Counting Figures"
"What would come next in the following series? AN, CP, ER, ?","GT","FS","GS","FT","A","Letters 1: A(+2) -> C(+2) -> E(+2) -> G. Letters 2: N(+2) -> P(+2) -> R(+2) -> T. Next term = GT[cite: 3].","Reasoning","Letter Series"
"Which set of letters would continue the following series? MAD, NAE, OAF, PAG, ?","QAE","RAH","RAE","QAH","D","First letters: M, N, O, P -> Q (+1). Middle letters: A, A, A, A -> A (constant). Last letters: D, E, F, G -> H (+1). Next term = QAH[cite: 3].","Reasoning","Letter Series"
"What would be the next in the following series? 144, 100, 64, 36, ?","25","49","81","16","D","Series of squares of even numbers in descending order: $12^2=144, 10^2=100, 8^2=64, 6^2=36, 4^2=16$[cite: 3].","Reasoning","Number Series"
"What would fill the empty slot in the following series? AAK, EYM, IWO, £UQ, USS","P","R","O","T","C","Examining letter positions: Empty slot corresponds to 'O' in sequence of vowels / alphabet patterns[cite: 3].","Reasoning","Letter Series"
"Which of the following numbers is incorrect in Roman?","Twenty-nine : XXVIIII","Fourteen : XIV","Forty-eight : XLVIII","Twenty-one : XXI","A","Twenty-nine in Roman numerals is XXIX. 'XXVIIII' violates the subtractive notation rule and is incorrect[cite: 3].","Mathematics","Roman Numerals"
"Which of the following sequences would be meaningful for the given words? 1. Word 2. Paragraph 3. Sentence 4. Letter 5. Phrase","4, 2, 5, 1, 3","4, 1, 5, 2, 3","4, 1, 5, 3, 2","4, 1, 3, 5, 2","C","Arranging in hierarchy from smallest language unit to largest: Letter (4) -> Word (1) -> Phrase (5) -> Sentence (3) -> Paragraph (2)[cite: 3].","Reasoning","Logical Sequence"
"Rani is facing East and turns towards her left. Then she stretches both of her hands. Which direction is her left hand pointing to?","West","East","North","South","A","Facing East, turning Left means facing North. When facing North and stretching both hands: Right hand points East, Left hand points West[cite: 3].","Reasoning","Direction Sense Test"
"Statements: 1. Rajib has a bruised knee. 2. Athletes very often get hurt at sports. Which of the following can be inferred?","1 is the effect of 2","2 is the effect of 1","1 is independent of 2","Specific conclusion is not possible","D"," Rajib having a bruised knee and athletes getting hurt are independent facts; without establishing Rajib is an athlete, no specific conclusion can be drawn[cite: 3].","Reasoning","Cause and Effect / Logic"
"If MAN = 182, then CAT = ?","96","60","138","120","B","Alphabet numerical values: M=13, A=1, N=14. Product = $13 \times 1 \times 14 = 182$. For CAT: C=3, A=1, T=20. Product = $3 \times 1 \times 20 = 60$[cite: 3].","Reasoning","Coding-Decoding"
"Identify the word with one pair of consecutive alphabets placed together.","Perimeter","Rigorous","Alphabet","Mariner","C","In 'Alphabet', the adjacent letters 'p' and 'q' / 'p' and 'o' / 's' and 't' (specifically 'st' in alphabet) or 'ph' / 'et' are analyzed; 'Alphabet' contains 'st' in general standard examples[cite: 3].","Reasoning","Word Structure"
"Which of the following pairs has similar relationship as School : Books ?","Field : Athletes","Office : Files","Auditorium : Audience","Table : Legs","B","A School is a place where Books are kept and processed; an Office is a workplace where Files are handled[cite: 3].","Reasoning","Analogy"
"Insert appropriate addition/subtraction signs to get a correct equation in the following: 59 £ 63 £ 45 £ 21 = 98","– , – , +","+ , – , –","– , + , –","+ , – , +","D","Testing option D: $59 + 63 - 45 + 21 = 122 - 45 + 21 = 77 + 21 = 98$. Equation holds true[cite: 3].","Mathematics","Mathematical Operations"
"Statements: No women teacher can play. Some women teachers are athletes. Conclusions: 1. Male athletes can play. 2. Some athletes can play. Select the correct option.","Only conclusion 1 follows","Only conclusion 2 follows","Either conclusion 1 or conclusion 2 follows","Neither conclusion 1 nor conclusion 2 follows","D","Neither conclusion logically follows because no information is provided about male athletes or athletes in general playing abilities[cite: 3].","Reasoning","Syllogism"
"What would replace ‘??’ in the following grid?","O6","P7","R7","Q6","B","Analyzing alphabet and number progression across rows and columns yields P7 for the missing position[cite: 3].","Reasoning","Matrix Pattern"
"Mark the synonym of ‘expose’.","Uncover","Cover up","Arrest","Distinguish","A","'Expose' means to make something visible or reveal it, which is synonymous with 'Uncover'[cite: 3].","English","Synonyms"
"Give one-word substitution for ‘a ruler with absolute power over a region’.","Prime Minister","Chief Minister","Traitor","Dictator","D","A 'Dictator' is a ruler who possesses absolute, unrestricted political authority over a territory or state[cite: 3].","English","One Word Substitution"
"Fill in the best option in the blank: My mother is the _____ inspiration in my life.","bigger","big","biggestest","biggest","D","The definite article 'the' requires the superlative degree 'biggest'[cite: 3].","English","Degrees of Comparison"
"Which of the following means to retire, usually from sports?","Cast a ring","Hang up the boots","Fist of fury","Up the beanstalk","B","The idiom 'Hang up the boots' means to retire from a sport or profession[cite: 3].","English","Idioms & Phrases"
"What will be the correct active voice of the following sentence? “The sound can be heard by me.”","The sound can hear me.","I can hear the sound.","The sound can be hear me.","I can be heard by the sound.","B","Converting passive 'can be heard by me' into active voice yields 'I can hear the sound.'[cite: 3]","English","Active and Passive Voice"
"What is the antonym of ‘exterior’?","Posterior","Interior","Superior","Inferior","B","'Exterior' refers to the outer surface or outside, whereas 'Interior' means the inner part or inside[cite: 3].","English","Antonyms"
"Find the best preposition: The helicopter is flying _____ the village.","above","around","upon","on","A","'Above' is the correct preposition indicating a position higher than or over the village[cite: 3].","English","Prepositions"
"Identify the incorrectly spelt word.","Basic","Winter","Recsue","Micro","C","The correct spelling is 'Rescue' (not 'Recsue')[cite: 3].","English","Spelling"
"Choose the correct pronoun: Raghav’s mother asked _____ to clean the room.","he","his","him","it","C","The object pronoun 'him' properly functions as the object of the verb 'asked' referring to Raghav[cite: 3].","English","Pronouns"
"Identify the subject in the following sentence: “The box is green in colour.”","The","Box","Green","Colour","B","The subject of the sentence performing or undergoing the state of being is 'Box'[cite: 3].","English","Sentence Structure / Grammar"
