"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"As on 1st of January, 2022, which of the following is NOT a (administrative) Division of Assam? (2022 ¬ı¯∏«1 1 ˘± Ê±Ú≈ª±1œ ¸±À¬ÛÀé¬ øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬± ’¸˜1 [√õ∂˙±¸øÚfl¬] ¸—˜G˘ Ú˝˚˛ ?)","Lower Assam","Barak Valley","Hills and Central Assam","West Assam","D","Assam is divided into 5 administrative divisions: Lower Assam, Upper Assam, North Assam, Hills and Central Assam, and Barak Valley. 'West Assam' is not an administrative division.","Assam GK","Assam Administration"
"What is the name of the statue placed near Sardar Sarovar Dam in Gujarat? (&Ê1±È¬1 ‰¬±1 ¸À1±¬ı1 ¬ı±g1 ¸˜œ¬ÛÓ¬ ¶ö±¬ÛÚ fl¬1± √õ∂øÓ¬˜”øÓ«¬ÀÈ¬±1 Ú±˜ øfl¬ ?)","Statue of Liberty","Shakti Vajra","Statue of Unity","Shanti Stambh","C","The Statue of Unity, depicting Vallabhbhai Patel, is built near the Sardar Sarovar Dam in Gujarat.","Assam GK","Indian Landmarks"
"Which country was involved with India in the Doklam incident of 2017? (2017 ‰¬Ú1 Î¬ífl¬ª±˜ fl¬±GÓ¬ ˆ¬±1Ó¬1 ∆¸ÀÓ¬ Œfl¬±Ú‡Ú Œ˙ ÊøÎ¬ˇÓ¬ ’±øÂ˘ ?)","China","Afghanistan","Bangladesh","Myanmar","A","The 2017 Doklam standoff was a military border standoff between the Indian Armed Forces and the People's Liberation Army of China over Chinese construction of a road in Doklam.","Assam GK","Current Affairs / History"
"Which of the following Novels was written by Kanchan Borooah? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú Î◊¬¬ÛÚ…±¸ fl¬±=Ú ¬ı1nª±˝◊ 1‰¬Ú± fl¬ø1øÂ˘ ?)","Mrityunjoy","Oximot Jaar Heral Xima","Ontorip","Asol Manuh","B","'Oximot Jaar Heral Xima' is a famous Assamese novel written by Kanchan Baruah (pen name of Hari Prasad Baruah).","Assam GK","Assamese Literature"
"Which of the following places of interest has been recently included in UNESCO World Heritage Site List? (øÚ•ßø˘ø‡Ó¬ Œfl¡±ÚÀÈ¬± ’±fl¡¯∏«œ˚˛ ¶ö±Úfl¡ Œ˙˝√Ó¬œ˚˛±Õfl¡ ˝◊Î◊¬ÀÚÀ¶®±1 ø¬ıù´ ‹øÓ¬˝√… Œé¬S1 Ó¬±ø˘fl¡±Ó¬ ’ôLˆ≈¬«Mê fl¡1± ∆˝√ÀÂ√?)","Charaideo Moidams","Batadrava Than","Poa Mecca","Sonai Rupai Wildlife Sanctuary","A","The 'Moidams – the Mound-Burial System of the Ahom Dynasty' at Charaideo were nominated and designated as a UNESCO World Heritage Site.","Assam GK","Heritage & Tourism of Assam"
"In Assamese literature, who is known as “Ekhud Kokaideu”? (’¸˜œ˚˛± ¸±ø˝Ó¬…Ó¬ ëë¤‡≈ fl¬fl¬±˝◊À›íí Ú±À˜À1 fl¬±fl¬ ÊÚ± ˚±˚˛ ?)","Nabakanta Baruah","Medini Mohan Choudhury","Kumud Chandra Hazarika","Kamalakanta Bhattacharyya","A","Renowned Assamese poet and novelist Nabakanta Baruah wrote children's literature under the pen name 'Ekhud Kokaideu'.","Assam GK","Assamese Literature"
"Which of the following airlines does not exist anymore? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÀÈ¬± ø¬ı˜±Ú ¸—¶ö±1 ’øô¶Q ¬ıÓ«¬˜±Ú ¸˜˚˛Ó¬ Ú±˝◊ ?)","Spicejet","Indigo","East West","Vistara","C","East-West Airlines was an Indian pioneer private airline that operated from 1992 to 1996 and ceased operations.","Assam GK","Aviation History"
"Which sport is the Davis Cup played for? (ŒÎ¬øˆ¬Â fl¬±¬Û Œfl¬±Úø¬ıÒ Œ‡˘1 ¬ı±À¬ı Œ‡˘± ˝˚˛ ?)","Badminton","Table Tennis","Lawn Tennis","Cricket","C","The Davis Cup is the premier international team event in men's lawn tennis.","Assam GK","Sports GK"
"Sunlight helps in producing which Vitamin in a human body? (¸”˚«1 Œ¬Û±˝À1 ˜±Ú≈˝1 ˙1œ1Ó¬ Œfl¬±Úø¬ıÒ øˆ¬È¬±ø˜Ú Î◊¬»¬Û±ÚÓ¬ ¸˝±˚˛ fl¬À1 ?)","Vitamin C","Vitamin B","Vitamin D","Vitamin A","C","Ultraviolet B (UVB) rays from sunlight synthesize Vitamin D in human skin cells.","General Science","Biology / Nutrition"
"Harihara also known as Hakka, and his brother Bukka Raya, founded which kingdom? (˝√±!¡± Ú±À˜À1› ¬Ûø1ø‰¬Ó¬ ˝√ø1˝√1 ’±1n∏ ŒÓ¬›“1 ˆ¬±Ó‘¬ ¬ı≈!¡ 1±˚˛±˝◊ Œfl¡±Ú‡Ú ¸±•⁄±Ê√… õ∂øÓ¬á¬± fl¬ø1øÂ√˘?)","Chalukya Empire","Vijayanagara Empire","Chola Empire","Hoysale Empire","B","Harihara I (Hakka) and Bukka Raya I established the Vijayanagara Empire in 1336 along the banks of the Tungabhadra River.","Assam GK","Indian History"
"Which of the following is a non-renewable source of energy? (øÚ•ßø˘ø‡Ó¬ ¸˜”˝1 Œfl¬±ÚÀÈ¬± ˙øMê1 ’Ú¬ıœfl¬1ÌÀ˚±·… Î◊¬»¸ ?)","Wind power","Hydropower","Solar energy","Fossil fuel","D","Fossil fuels (coal, oil, natural gas) exist in finite amounts and cannot be naturally replenished on a human timescale, making them non-renewable.","General Science","Environmental Science"
"Saptakanda Ramayan was written by: (¸5fl¬±G 1±˜±˚˛Ì Œfl¬±ÀÚ ø˘øø‡øÂ˘ ?)","Horibor Bipro","Madhava Kandali","Ananta Kandali","Hemo Saraswati","B","Madhava Kandali translated the Ramayana into Assamese verse as the 'Saptakanda Ramayana' in the 14th century.","Assam GK","Assamese Literature"
"Which of the following countries is NOT a permanent member of the United Nations Security Council? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú Œ˙ 1±©Üò¸—‚1 øÚ1±¬ÛM± ¬Ûø1¯∏1 ¶ö±˚˛œ ¸¸… Ú˝˚˛ ?)","France","China","India","United States of America","C","The 5 permanent members (P5) of the UNSC are China, France, Russia, the UK, and the USA. India is currently not a permanent member.","Assam GK","International Organizations"
"Which of the following movies was not released in 2023? (øÚ•ßø˘ø‡Ó¬ Œfl¬±Ú‡Ú ‰¬˘ø2‰¬S 2023 ‰¬ÚÓ¬ ˜≈øMê Œ¬Û±ª± Ú±øÂ˘ ?)","Jawan","Animal","Pathaan","The Kashmir Files","D","'The Kashmir Files' was released in cinema halls in March 2022, whereas Jawan, Animal, and Pathaan were released in 2023.","Assam GK","Current Affairs / Entertainment"
"As on 1st of January, 2024, who holds the portfolio for External Affairs in Narendra Modi’s Council of Ministers? (2024 ‰¬Ú1 1 ˘± Ê±Ú≈ª±1œ ¸±À¬ÛÀé¬ ÚÀ1f Œ˜±Î¬œ1 ˜Laœ ¬Ûø1¯∏Ó¬ ∆¬ıÀø˙fl¬ ¬Ûø1Sê˜±1 51 fl¬±1 ›¬Û1Ó¬ Ú…ô¶ ’±ÀÂ ?)","Dr. Subrahmanyam Jaishankar","Smt. Nirmala Sitharaman","Smt. Smriti Zubin Irani","Shri Kiren Rijiju","A","Dr. S. Jaishankar has served as the Minister of External Affairs of the Government of India since May 2019.","Assam GK","Indian Polity / Current Affairs"
"Which of the following is NOT an IPL team? (øÚ•ßø˘ø‡Ó¬ ¸˜”˝1 Œfl¬±ÚÀÈ¬± ’±˝◊ø¬Û¤˘ ˘ Ú˝˚˛ ?)","Delhi Capitals","Gujarat Giants","Sunrisers Hyderabad","Lucknow Super Giants","B","'Gujarat Giants' is a team in the Women's Premier League (WPL) and Pro Kabaddi, whereas the IPL team from Gujarat is named 'Gujarat Titans'.","Assam GK","Sports GK"
"Which of the following is highest, among ranks of the Indian Army? (ˆ¬±1Ó¬œ˚˛ Œ¸Ú±1 ¬Û√¬ıœ¸˜”˝√1 øˆ¬Ó¬1Ó¬ øÚ•ßø˘ø‡Ó¬ Œfl¡±ÚÀÈ¬± ¸À¬ı«±2‰¬ ¬Û√?)","Brigadier","Lieutenant General","Major General","Lieutenant Colonel","B","Among the given ranks, the order from lowest to highest is Lieutenant Colonel < Brigadier < Major General < Lieutenant General.","Assam GK","Indian Defence Services"
"What letters would fill the blanks in AO__BPP__ __QDR__ __SSFTT","OCREQ","OCQER","OCQRE","ORQCE","C","Analyzing letter sequence: AO - O / BP - P - C / Q - D - R - E / S - S - F - T - T. Following the repeating pattern yields 'OCQRE'.","Reasoning","Letter Series"
"Statements: I. Non-metro cities in the country have been suffering due to load shedding for quite some time. II. If the Government is not able to overcome the power crisis, load shedding will be extended even to the metro cities. Which of the following conclusions can be drawn?","Both Statement I and Statement II are effects of independent causes.","Both Statement I and Statement II are effects of some common cause.","Statement I is the cause and Statement II is its effect.","Statement II is the cause and Statement I is its effect.","B","Both power shortages in non-metro cities and potential extension to metro cities stem from a single underlying issue: an ongoing national power crisis. Thus, both are effects of a common cause.","Reasoning","Cause and Effect"
"Five cadets Charles, Harmit, Om, Piyush and Tapan were asked to pick up one each of the geometric figures: a circle, a pentagon, a trapezoid, a hexagon and an octagon... Who picked up the circle?","Harmit","Charles","Piyush","Om","A","No person takes a figure starting with their initial letter. Om has 1 pair of parallel lines -> Trapezoid. Charles, Piyush, Tapan pick shapes > 4 sides (Pentagon=5, Hexagon=6, Octagon=8). Harmit must pick the remaining figure, which is the Circle (0 sides).","Reasoning","Logical Puzzles"
"Soniya drives 4 km West, turns Left (South) 6 km, turns Left (East) 12 km to reach office. What is the shortest distance between home and office?","18 km","12 km","9 km","10 km","D","Net displacement along East-West: $12 - 4 = 8$ km East. Net displacement along North-South: $6$ km South. Shortest distance = $\sqrt{8^2 + 6^2} = \sqrt{64 + 36} = \sqrt{100} = 10$ km.","Reasoning","Direction Sense Test"
"Of the following words, which would be the last to appear in a standard English dictionary?","CONTINENT","CONSTANT","CONSIDER","CONTINUE","D","Arranging alphabetically: 1. CONSIDER, 2. CONSTANT, 3. CONTINENT, 4. CONTINUE. 'CONTINUE' appears last.","Reasoning","Dictionary Order"
"Identify the set that does NOT follow the common rule as others.","2 : 8 : 64","4 : 64 : 216","6 : 216 : 512","5 : 125 : 345","D","In sets A, B, and C, numbers follow $n : n^3 : (n+2)^3$. For 2: $2 : 2^3(8) : 4^3(64)$. For 4: $4 : 4^3(64) : 6^3(216)$. For 6: $6 : 6^3(216) : 8^3(512)$. In option D, $5^3=125$, but $7^3=343 \neq 345$.","Reasoning","Number Analogy / Classification"
"A six-faced regular die always has the total of dots in opposite faces as 7. Four such dice are thrown, and the top shows 3, 3, 2, 6. What would be the total of the dots touching ground?","15","14","21","17","B","In standard dice, opposite faces sum to 7. Opposite of 3 is 4; opposite of 3 is 4; opposite of 2 is 5; opposite of 6 is 1. Sum of bottom faces = $4 + 4 + 5 + 1 = 14$.","Reasoning","Dice Problems"
"What should be the missing number? 6 9 15 / 8 12 ? / 4 6 10","18","16","24","20","D","Row logic: Row 1: $6 + 9 = 15$. Row 3: $4 + 6 = 10$. Applying same logic to Row 2: $8 + 12 = 20$.","Reasoning","Missing Number Pattern"
"Michael started from East, came to a crossing. Road to left ends in Railway station, straight ahead is Museum. In which direction is the university?","South","East","West","North","D","Michael came FROM East heading West. Facing West: Left is South (Railway station), Straight ahead is West (Museum), Backwards is East. Therefore, the remaining direction for the University is North.","Reasoning","Direction Sense Test"
"How many milligrams make one kilogram?","10","10³","10⁴","10⁶","D","$1 \text{ kg} = 1000 \text{ g} = 1000 \times 1000 \text{ mg} = 1,000,000 \text{ mg} = 10^6 \text{ mg}$.","Mathematics","Metric Conversions"
"Which word features less than four different vowels?","Promotion","Sustainable","Question","Potential","A","Promotion: Vowels are O, O, I, O -> 2 unique vowels (O, I). Sustainable: u, a, i, a, e -> 4 unique (u, a, i, e). Question: u, e, i, o -> 4 unique. Potential: o, e, i, a -> 4 unique. Thus, 'Promotion' has fewer than 4 distinct vowels.","Reasoning","Word Structure"
"How many squares can be identified in the figure?","21","18","19","26","A","Counting grid squares of sizes $1\times1$, $2\times2$, $3\times3$, etc., within the given figure gives a total of 21 squares.","Reasoning","Counting Figures"
"Which of the following is different from others?","Ammeter","Perimeter","Altimeter","Anemometer","B","Ammeter, Altimeter, and Anemometer are all scientific measuring instruments. 'Perimeter' is a mathematical measurement concept (boundary length).","Reasoning","Odd One Out"
"Total age of three friends John, Johnny and Janardhan is 84 years. What was their total age four years ago?","72 years","80 years","78 years","76 years","A","Four years ago, each of the three friends was 4 years younger. Total reduction = $3 \times 4 = 12$ years. Total age = $84 - 12 = 72$ years.","Mathematics","Age Problems"
"Philately is related to: (øÙ¬˘±ÀÈ¬ø˘ ¬ı≈ø˘À˘ ø˚ÀÈ¬± Ê√øÎ¬ˇÓ¬ -)","collection of match box","collection of postage stamps","collection of currency notes","collection of fountain pens","B","Philately is the study and collection of postage stamps and postal history.","Assam GK","General Knowledge"
"Which two terms would come next in the series: 24, 26, 35, 63, 48, 124, 63, 215, ?, ?","76, 430","83, 310","99, 511","80, 342","D","Alternating series: Series 1: $5^2-1=24, 6^2-1=35, 7^2-1=48, 8^2-1=63, 9^2-1=80$. Series 2: $3^3-1=26, 4^3-1=63, 5^3-1=124, 6^3-1=215, 7^3-1=342$. Next terms: 80 and 342.","Reasoning","Number Series"
"Statements: All pencils are pens. All the pens are inks. Conclusions: 1. All the pencils are inks. 2. Some inks are pencils.","Only 1 conclusion follows","Only 2 conclusion follows","Either conclusion 1 or conclusion 2 follows","Both conclusion 1 and conclusion 2 follow","D","By Syllogism: All A are B + All B are C => All A are C (All pencils are inks - Conc 1 valid). Conversion of 'All pencils are inks' yields 'Some inks are pencils' (Conc 2 valid). Both follow.","Reasoning","Syllogism"
"Identify the next set in the series: L3P, R4W, Y5E, G6N, ?","O7V","R7W","Q7W","P7X","D","Pattern: Letters 1: L(+6) -> R(+7) -> Y(+8) -> G(+9) -> P. Numbers: 3, 4, 5, 6 -> 7. Letters 2: P(+7) -> W(+8) -> E(+9) -> N(+10) -> X. Next set = P7X.","Reasoning","Alpha-Numeric Series"
"Identify the incorrect Roman number.","Thirty six : XXXVI","Ninety nine : XCIX","Seventy four : DXXIV","Nine hundred : CM","C","Seventy four in Roman numerals is LXXIV (L=50, XX=20, IV=4). 'DXXIV' represents 524, making option C incorrect.","Mathematics","Roman Numerals"
"Ramya’s mother is the only daughter of Prachi’s father. How is Prachi’s husband related to Ramya?","Father","Brother","Paternal uncle","Grandfather","A","'Only daughter of Prachi's father' is Prachi herself. So, Ramya's mother is Prachi. Thus, Prachi's husband is Ramya's father.","Reasoning","Blood Relations"
"Which one of the figures is different from the rest?","2","4","1","3","C","Evaluating the symmetry and geometric orientation across the four figures shows that Figure 1 deviates from the pattern shared by the others.","Reasoning","Non-Verbal Reasoning"
"Which set of letters would fill the gaps in: MAK, LEL, , JON, IUO","JKL","KIN","KIM","JLK","C","Letter 1: M, L, [K], J, I (-1 position). Letter 2: A, E, [I], O, U (Vowel sequence). Letter 3: K, L, [M], N, O (+1 position). Missing term = KIM.","Reasoning","Letter Series"
"Which of the following is correct when calculated from left to right, ignoring BODMAS, if 5+2=3 (+ means -), 5-2=7 (- means +), 10÷2=20 (÷ means ×), 10×2=5 (× means ÷)?","9×3-1÷2=18","5+1÷4-3=19","6×2-1+2=12","7÷2+4-2=14","B","Replacing symbols: Option B: $5 + 1 \div 4 - 3 \implies 5 - 1 \times 4 + 3$. Calculating L-to-R: $(5 - 1) = 4$; $(4 \times 4) = 16$; $(16 + 3) = 19$. Correct.","Reasoning","Mathematical Operations"
"Identify the odd pair.","Pacific : Water","Himalaya : Mountain","Vesuvius : Volcano","Mississippi : River","A","Himalaya is a Mountain, Vesuvius is a Volcano, Mississippi is a River (Name : Type). Pacific is the name of an Ocean, but paired with 'Water' rather than 'Ocean'.","Reasoning","Analogy / Classification"
"What mathematical signs can be inserted respectively to get a correct equation (calculated left to right ignoring BODMAS)? 65 c 30 c 7 c 15 c 5 = 15","-, ÷, +, -","-, ×, +, -","+, -, ×, ÷","+, ÷, -, -","A","Testing option A: $65 - 30 \div 7 + 15 - 5$. Left to Right calculation: $65 - 30 = 35 \implies 35 \div 7 = 5 \implies 5 + 15 = 20 \implies 20 - 5 = 15$. Matches RHS.","Reasoning","Mathematical Operations"
"What would replace ?? in the triangle set?","9","11","10","12","C","Applying arithmetic operations on numbers at the vertices to derive the central value in each triangle yields 10 for the missing position.","Reasoning","Puzzles / Number Patterns"
"Which of the following words is correctly spelt?","Jeography","Jeometry","Jeopardy","Jeology","C","'Jeopardy' is correctly spelt. The others should be Geography, Geometry, and Geology (starting with G).","English","Spelling"
"What would be the Arabic numeral for MMCDXLVII?","2,567","2,457","2,477","2,447","D","MM = 2000, CD = 400, XL = 40, VII = 7. Total = $2000 + 400 + 40 + 7 = 2,447$.","Mathematics","Roman Numerals"
"If ROCKET is written as TQEMGV, then what would be the last letter when RAINBOW is written by the same code?","Z","Y","A","U","B","Pattern: Each letter is shifted forward by +2 positions ($R\to T, O\to Q, C\to E$). For RAINBOW, the last letter W shifted by +2 gives Y ($W + 2 = Y$).","Reasoning","Coding-Decoding"
"What would be the digit exactly in the middle when 65749 is subtracted from twice of itself?","9","2","7","8","C","Subtracting 65749 from its double ($2 \times 65749 - 65749$) gives 65749 itself. In the 5-digit number 65749, the middle (3rd) digit is 7.","Mathematics","Number Operations"
"Raj has to catch a train at fifteen minutes past three in the afternoon. What would be the time on a 24-hours scale?","03:15 hours","15:15 hours","13:15 hours","23:15 hours","B","3:15 PM in 12-hour format converts to $3 + 12 = 15 \implies 15:15$ hours in 24-hour scale.","Mathematics","Time & Clock"
"If 9 < x^2 < 25, then the correct value/values of x is/are:","3, 4, 5","4, 5","3, 4","4","D","Taking square root of the inequality for positive integers: $\sqrt{9} < x < \sqrt{25} \implies 3 < x < 5$. The only integer satisfying this is $x = 4$.","Mathematics","Inequalities"
"What would be the middlemost digit in the smallest number that can be made using all the digits of 8936217?","3","6","7","9","B","Arranging digits (1, 2, 3, 6, 7, 8, 9) in ascending order gives the smallest 7-digit number: 1236789. The middlemost (4th) digit is 6.","Mathematics","Number System"
"Lohit walks from Black to Pink (9m East), turns Right (4m South) to Blue, turns Right (9m West) to Red, turns Left (2m South). How far is Lohit away from Black?","4 meters","13 meters","22 meters","6 meters","D","Horizontal distance: $9\text{m East} - 9\text{m West} = 0\text{m}$. Vertical distance: $4\text{m South} + 2\text{m South} = 6\text{m South}$. Straight-line distance from Black = 6 meters.","Reasoning","Direction Sense Test"
"Identify the word with no pair of consecutive letters placed together.","Alphabet","Partner","Rightness","Station","B","In 'Partner', no adjacent letters are consecutive in the alphabet. In 'Alphabet' (st), 'Rightness' (gh, st), 'Station' (st), consecutive letters appear together.","Reasoning","Word Properties"
"If A=26, B=25, and so on till Z=1, then what would be the sum of STAR?","32","67","50","55","C","Reverse alphabetical values: S = 8, T = 7, A = 26, R = 9. Sum = $8 + 7 + 26 + 9 = 50$.","Reasoning","Coding-Decoding"
"Which of the following is NOT of the same set?","Cash Payment","Mobile Banking","Debit Card","Net Banking","A","Mobile Banking, Debit Card, and Net Banking are digital/electronic payment modes, whereas Cash Payment is a physical cash transaction mode.","Reasoning","Classification"
"Identify the word which cannot be made from CARBOHYDRATE.","AHEAD","RETRO","YACHT","HYPER","D","The word CARBOHYDRATE does not contain the letter 'P', so 'HYPER' cannot be formed.","Reasoning","Word Formation"
"Which of the four given sequences would be meaningful for the words? 1. House 2. Street 3. Room 4. Town 5. District","3, 1, 2, 4, 5","5, 4, 1, 3, 2","3, 1, 4, 2, 5","5, 4, 3, 1, 2","A","Arranging from smallest to largest container unit: Room (3) -> House (1) -> Street (2) -> Town (4) -> District (5). Sequence: 3, 1, 2, 4, 5.","Reasoning","Logical Sequence of Words"
"If the code for WATER is 67 and for DRINK is 56, then the code for RIVER is:","48","98","72","35","C","Alphabetical positions sum: WATER ($23+1+20+5+18 = 67$), DRINK ($4+18+9+14+11 = 56$). For RIVER: $18 + 9 + 22 + 5 + 18 = 72$.","Reasoning","Coding-Decoding"
